Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,capacity_relevant,unep_attributed,attributable_relevant_doc,sd,capacity_justification,unep_justification,evidence_phrases
Brazil,2014-2018,http://montessori-mun.org/wp-content/uploads/2015/06/Resolution-2.1-UNEP-Deforestation-Middle-School.pdf,2014,2018,2016,Deforestation Co-Sponsors: Federative Republic of Brazil,UNEP supported Brazil environmental monitoring after:2014-01-01 before:2018-01-01,montessori-mun_org_Deforestation_Co_Sponsors_Federative_Republic_of_B.txt,False,False,False,,"The document does not contain explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks for Brazil during 2014-2018.",The document does not explicitly link UNEP to strengthening or enabling capacity in Brazil during 2014-2018.,[]
Brazil,2014-2018,http://world-heritage-datasheets.unep-wcmc.org/datasheet/output/site/central-amazon-conservation-complex,2014,2018,2016,CENTRAL AMAZON CONSERVATION COMPLEX,UNEP supported Brazil environmental monitoring after:2014-01-01 before:2018-01-01,world-heritage-datasheets_unep-wcmc_org_CENTRAL_AMAZON_CONSERVATION_COMPLEX.txt,False,False,False,,"The document does not contain explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems/early warning systems, environmental information platforms, or national environmental reporting frameworks in Brazil during 2014-2018.",There is no explicit link between UNEP and strengthening or enabling capacity in Brazil during 2014-2018 mentioned in the document.,[]
Brazil,2014-2018,https://apps.apple.com/us/app/unep-publications/id1114794043,2014,2018,2016,UNEP Publications - App Store - Apple,with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,apps_apple_com_UNEP_Publications_App_Store_Apple.txt,False,False,False,,"The document does not contain explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks for Brazil during 2014-2018.",The document does not explicitly link UNEP to strengthening or enabling capacity in Brazil during 2014-2018. The document primarily describes a mobile app for accessing UNEP publications.,[]
Brazil,2014-2018,https://apps1.unep.org/resolutions/uploads/marine_litter_assessment_in_the_mediterranea-2015.pdf,2014,2018,2016,MARINE LITTER ASSESSMENT IN THE MEDITERRANEAN,with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,apps1_unep_org_MARINE_LITTER_ASSESSMENT_IN_THE_MEDITERRANEAN.txt,False,False,False,,"The document does not contain explicit evidence related to Brazil during 2014-2018 about environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks.",The document does not explicitly link UNEP to strengthening or enabling capacity in Brazil during 2014-2018.,[]
Brazil,2014-2018,https://archive.ipcc.ch/publications_and_data/publications_and_data_supporting_material.htm,2014,2018,2016,IPCC - Intergovernmental Panel on Climate ...,with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,archive_ipcc_ch_IPCC_Intergovernmental_Panel_on_Climate_.txt,False,False,False,,"The document does not contain explicit evidence related to Brazil or the specified time window (2014-2018) about environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks.",There is no explicit link between UNEP and any capacity development in Brazil during 2014-2018 in the provided document.,[]
Brazil,2014-2018,https://greenfiscalpolicy.org/policy_briefs/brazil-country-profile-2/,2014,2018,2016,Brazil - Country profile | Green Fiscal Policy ...,UNEP supported Brazil environmental monitoring after:2014-01-01 before:2018-01-01,greenfiscalpolicy_org_Brazil_Country_profile_Green_Fiscal_Policy_.txt,False,False,False,,"The document does not contain explicit evidence related to Brazil or the time window 2014-2018, nor does it discuss environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks.",The document does not explicitly link UNEP to strengthening or enabling capacity in Brazil during 2014-2018.,[]
Brazil,2014-2018,https://iiasa.ac.at/impacts,2014,2018,2016,Impacts,with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,iiasa_ac_at_Impacts.txt,False,False,False,,"The document does not contain explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks for Brazil during 2014-2018.",There is no explicit link between UNEP and strengthening or enabling capacity in Brazil during 2014-2018.,[]
Brazil,2014-2018,https://moodle2.units.it/pluginfile.php/399194/mod_folder/content/0/M.%20Gervasi%20-%20NU%20e%20ambiente/UNEP%20%28PUSHKAREVA%29.pdf?forcedownload=1,2014,2018,2016,United Nations Environment Programme (UNEP),with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,moodle2_units_it_United_Nations_Environment_Programme_UNEP_.txt,False,False,False,,"The document does not contain explicit evidence related to Brazil during 2014-2018 about environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks.",The document does not explicitly link UNEP to strengthening or enabling capacity in Brazil during 2014-2018. Mere mention of UNEP is not enough for attribution.,[]
Brazil,2014-2018,https://opil.ouplaw.com/display/10.1093/law:epil/9780199231690/law-9780199231690-e554?d=%2F10.1093%2Flaw%3Aepil%2F9780199231690%2Flaw-9780199231690-e554&p=emailAE2csK66JJ3Qs,2014,2018,2016,United Nations Environment Programme (UNEP),with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,opil_ouplaw_com_United_Nations_Environment_Programme_UNEP_.txt,False,False,False,,"The document does not contain explicit evidence related to Brazil during 2014-2018 about environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks.",The document does not explicitly link UNEP to strengthening or enabling capacity in Brazil during 2014-2018. Mere mention of UNEP is not enough for attribution.,[]
Brazil,2014-2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC7252522/,2014,2018,2016,LCIA framework and cross-cutting issues guidance within the ...,with UNEP support Brazil scientific assessment after:2014-01-01 before:2018-01-01,pmc_ncbi_nlm_nih_gov_LCIA_framework_and_cross_cutting_issues_guidance_w.txt,False,False,False,,The document does not contain any information about Brazil or the specified time window (2014-2018).,The document does not mention UNEP or any capacity-building activities.,[]
