Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,capacity_relevant,capacity_evidence_doc,cd,capacity_justification,evidence_phrases
Brazil,2014-2018,http://www.iaea.org/newscenter/news/iaea-impact-brazil-and-its-neighbours-work-protect-one-worlds-largest-groundwater-reservoirs,2014,2018,2016,IAEA Impact: Brazil and Its Neighbours Work to Protect One ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_iaea_org_IAEA_Impact_Brazil_and_Its_Neighbours_Work_to_Prot_5103574826.txt,False,False,,"The document does not provide explicit evidence of Brazil's institutional or technical capacity to develop, produce, maintain, or use environmental data systems, environmental statistics, scientific environmental assessments, environmental monitoring systems, or environmental information platforms during 2014-2018. The document primarily focuses on a groundwater project in Brazil and its neighbors, using nuclear techniques for aquifer assessment.",[]
Brazil,2014-2018,https://climate.law.columbia.edu/sites/default/files/content/Wedy-2016-03-Climate-Change-and-Sustainable-Development-in-Brazilian-Law.pdf,2014,2018,2016,Climate Change and Sustainable Development in Brazilian Law,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,climate_law_columbia_edu_Climate_Change_and_Sustainable_Development_in_Braz_956ccb442e.txt,False,False,,"The document does not provide explicit evidence of institutional or technical capacity to develop, produce, maintain, or use environmental data systems, environmental statistics, scientific environmental assessments, environmental monitoring systems, environmental data inputs to early warning systems, environmental information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories, or institutional arrangements for producing or coordinating environmental evidence in Brazil during 2014-2018.",[]
Brazil,2014-2018,https://climatepolicyinitiative.org/wp-content/uploads/2013/05/DETERring-Deforestation-in-the-Brazilian-Amazon-Environmental-Monitoring-and-Law-Enforcement-Technical-Paper_Feb2017.pdf,2014,2018,2016,DETERring Deforestation in the Amazon: Environmental ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,climatepolicyinitiative_org_DETERring_Deforestation_in_the_Amazon_Environmenta_2c339f69cd.txt,True,True,81.0,"The document provides clear evidence of institutionalized and operational national systems for environmental monitoring and law enforcement in Brazil during 2014-2018. The Real-Time System for Detection of Deforestation (DETER) is a satellite-based system that provides near real-time identification of deforestation hotspots throughout the Brazilian Amazon. This system, launched in 2004 and strengthened during the studied period, is a key tool for targeting law enforcement efforts in the Amazon.","[""DETER is a satellite-based system that provides near real-time identification of deforestation hotspots throughout the full extent of the Brazilian Amazon."", ""The system differentiates forested and deforested areas, such that, for any given location, later satellite images are compared with earlier ones to identify changes in forest cover."", ""Each clearing hot spot triggers the issuing of a DETER deforestation alert, signaling areas in need of immediate attention."", ""The adoption of DETER, a satellite-based system for mapping land cover, is the key tool in Amazon monitoring."", ""Ibama's law enforcement efforts gained greater legal support with the passing of Presidential Decree 6,514 in 2008, which reestablished directives for the investigation and sanctioning of environmental infractions.""]"
Brazil,2014-2018,https://climatepolicyinitiative.org/wp-content/uploads/2015/09/Towards-Efficient-Land-Use-in-Brazil.pdf,2014,2018,2016,Towards Efficient Land Use in Brazil,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,climatepolicyinitiative_org_Towards_Efficient_Land_Use_in_Brazil_8219031ebc.txt,False,False,,"The document does not contain explicit evidence related to environmental data, statistics, scientific assessment, monitoring, early warning data inputs, information systems, reporting frameworks, or environmental indicators for Brazil during 2014-2018.",[]
Brazil,2014-2018,"https://conferences.iaia.org/2014/IAIA14-final-papers/Fonseca,%20Alberto.%20%20EIA%20screening%20criteria%20in%20Brazil%20a%20logical%20test.pdf",2014,2018,2016,EIA screening criteria in Brazil: a logical test?,Brazil environmental data system institutional capacity after:2014-01-01 before:2018-01-01,conferences_iaia_org_EIA_screening_criteria_in_Brazil_a_logical_test__f9ca7df3a0.txt,False,False,,"The document does not contain explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments or reviews, environmental monitoring systems, environmental data inputs to early warning systems, environmental information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories, or institutional arrangements for producing or coordinating environmental evidence in Brazil during 2014-2018.",[]
Brazil,2014-2018,https://elti.yale.edu/sites/default/files/rsource_files/bloomfieldetal2017_finalpublished_0.pdf,2014,2018,2016,Capacity building to advance the United Nations sustainable ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,elti_yale_edu_Capacity_building_to_advance_the_United_Nations_su_88db79ea69.txt,False,False,,"The document does not contain explicit evidence related to environmental data systems, statistics, scientific assessments, monitoring, early warning data inputs, information systems, reporting frameworks, or environmental indicators specifically for Brazil during 2014-2018.",[]
Brazil,2014-2018,https://greenfiscalpolicy.org/policy_briefs/brazil-country-profile-2/,2014,2018,2016,Brazil - Country profile | Green Fiscal Policy ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,greenfiscalpolicy_org_Brazil_Country_profile_Green_Fiscal_Policy__5bcd7a88e2.txt,True,True,40.0,"The document provides moderate evidence of Brazil's capacity to develop and implement environmental policies and systems during 2014-2018. While it mentions several environmental initiatives, policies, and programs, it does not provide explicit evidence of institutionalized or operational national/subnational systems for environmental data, statistics, scientific assessment, monitoring, or reporting.","[""Brazil has played an important role in promoting environmental commitments at the international level, hosting the 1992 and 2012 UN Conferences on Sustainable Development."", ""The Brazilian Agenda 21 was launched in 2002, which comprised objectives relating to sustainable development."", ""The National Plan on Climate Change was launched in 2008, encouraging better production practices and promoting the diffusion of biofuels."", ""The Action Plan for the Prevention and Control of Deforestation in the Legal Amazon (PPCDAM) adopted in 2003 coordinates actions aimed at reducing deforestation in the Amazon."", ""The Bolsa Verde Environmental Conservation Support programme, launched in 2011, encourages low-income families to pursue environmentally sustainable livelihoods.""]"
Brazil,2014-2018,https://hdr.undp.org/system/files/documents/lemosmariacarmen.pdf,2014,2018,2016,"Drought, Governance and Adaptive Capacity in North East ...",Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,hdr_undp_org_Drought_Governance_and_Adaptive_Capacity_in_North__ac3c514d8c.txt,False,False,,"The document is not about Brazil during 2014-2018, but rather a case study on drought governance and adaptive capacity in Northeast Brazil, specifically in the state of Ceará, during an earlier period.",[]
Brazil,2014-2018,https://ian.umces.edu/blog/environmental-literacy-for-guanabara-bay-brazil/,2014,2018,2016,"Environmental Literacy for Guanabara Bay, Brazil | Blog",Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,ian_umces_edu_Environmental_Literacy_for_Guanabara_Bay_Brazil_Bl_2d2d15cf93.txt,False,False,,"The document does not provide explicit evidence of institutional or technical capacity to develop, produce, maintain, or use environmental data systems, statistics, assessments, monitoring systems, or reporting frameworks in Brazil during 2014-2018.",[]
Brazil,2014-2018,https://iopscience.iop.org/article/10.1088/1748-9326/10/12/123001,2014,2018,2016,"Measurement and monitoring needs, capabilities ...",Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,iopscience_iop_org_Measurement_and_monitoring_needs_capabilities__4dda8df456.txt,False,False,,The document does not contain any relevant information about Brazil or environmental capacity during 2014-2018.,[]
