"Overton id",Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
jointresearcheu-be23c37a261be578551144bb89560cca,"A Behavioural Perspective on Nature Credit Markets",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2026-04-27,0,0,https://publications.jrc.ec.europa.eu/repository/handle/JRC146201,https://app.overton.io/document.php?policy_document_id=jointresearcheu-be23c37a261be578551144bb89560cca,,,"Biodiversity|Blended finance|Carbon offsets and credits",eng,,"SDG 15: Life on Land|SDG Target 15.9","Nature credit markets from a behavioural perspective"
jointresearcheu-18bda4162e237704f725f8a0b451fde8,"Security implications of the green energy transition",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2026-03-31,0,0,https://publications.jrc.ec.europa.eu/repository/handle/JRC145738,https://app.overton.io/document.php?policy_document_id=jointresearcheu-18bda4162e237704f725f8a0b451fde8,,,"Business cycle|Climate change|Climate change mitigation",eng,,"SDG 7: Affordable and Clean Energy|SDG Target 7.2|SDG Target 7.a|SDG 13: Climate Action|SDG Target 13.2","Security implications of the green energy transition"
dfono-f7c0eb3a1729bb999220b038c8477b90,"Spredt nytte, konkret kostnad","Diffused benefit, concrete cost",Publication,"Direktoratet for økonomistyring",Norway,,"Public Sector",Government,"Government Agency",2026-03-19,0,0,https://dfo.no/rapporter/spredt-nytte-konkret-kostnad,https://app.overton.io/document.php?policy_document_id=dfono-f7c0eb3a1729bb999220b038c8477b90,,,"Agency for Public Management and eGovernment|Assistive technology|Awareness",nor,,,"Effects of digitalization in the public sector"
norad-1356be1faa219640cacc7802b991d1bd,"A Review of Marine Protected Area Outcomes: Evidence for Development Cooperation",,Publication,Norad,Norway,,"Public Sector",Government,"National Body|Government Agency|Initiative, Programme or Project",2026-02-25,0,0,https://www.norad.no/en/publications/2026/a-review-of-marine-protected-area-outcomes-evidence-for-development-cooperation/,https://app.overton.io/document.php?policy_document_id=norad-1356be1faa219640cacc7802b991d1bd,,,"Adaptive management|Aquaculture|Biodiversity",eng,,"SDG 14: Life Below Water|SDG Target 14.5","Review of Marine Protected Areas (MPAs) outcomes"
europa-bad298834a501d0b94b58b38dbe24bdc,"Study on the implementation by EU Member States of Directive 2014/89/EU on Maritime Spatial Planning",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2026-01-26,0,0,https://op.europa.eu/en/publication-detail/-/publication/78b60070-fbf8-11f0-8da5-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-bad298834a501d0b94b58b38dbe24bdc,,,"Environmental impact assessment|European Green Deal|Geographic information system",eng,"European Climate, Infrastructure and Environment Executive Agency (European Commission)|Herpers, Frédérick|Maarten de Vet, Jan|Banfi, Paola|Pazos, Andrea|Zamparutti, Tony|Alonso, Irene","SDG 7: Affordable and Clean Energy|SDG Target 7.2|SDG 13: Climate Action|SDG Target 13.2|SDG 14: Life Below Water|SDG Target 14.2","Implementation of Maritime Spatial Planning Directive"
anses-f3f4a7310a1765a1c98990cd6676b464,"Avis et rapport relatifs à « la pollution de l’air liée au chauffage domestique au bois et aux effets sur la santé »","Opinion and report relating to &quot;air pollution linked to domestic wood heating and its effects on health&quot;",Publication,ANSES,France,,"Public Sector",Government,"National Body|Government Agency|Food and Drug Safety|Healthcare Service, Body or Agency|Monitoring or Regulatory Body",2026-01-08,0,0,https://www.anses.fr/system/files/AIR-2022-SA-0043-RA.pdf,https://app.overton.io/document.php?policy_document_id=anses-f3f4a7310a1765a1c98990cd6676b464,,,"Aerosol|Air pollution|Biomass",fre,,"SDG 3: Good Health and Well-being|SDG Target 3.9","Pollution of the air caused by domestic wood heating"
cordisbe-1ab3a35ac7e20e6b4bfdd893c3fc598c,"Coherent and cross-compliant ocean governance for delivering the EU Green Deal for European Seas",,Publication,CORDIS,EU,,"Public Sector",Government,"Public Data Body or Statistics|Archive|Public Service|Mixed Roles",2026-01-05,0,0,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e520d39b08&appId=PPGMS,https://app.overton.io/document.php?policy_document_id=cordisbe-1ab3a35ac7e20e6b4bfdd893c3fc598c,,,Agriculture|Aquaculture|Biodiversity,eng,,"SDG 14: Life Below Water|SDG Target 14.1|SDG Target 14.2","EU Green Deal ambitions in relation to zero pollution, marine biodiversity preservation, and climate resilience"
rijksoverheid-0c66fcb71625dc29560be1035595d021,"Reactienota Ontwerp Mariene Strategie deel 1 2024-2030","Response Note Draft Marine Strategy Part 1 2024-2030",Publication,Rijksoverheid,Netherlands,,"Public Sector",Government,"National Body|Mixed Roles|Public Service",2025-12-22,0,0,https://www.rijksoverheid.nl/documenten/rapporten/2025/12/22/bijlage-3-mariene-strategie-deel-1,https://app.overton.io/document.php?policy_document_id=rijksoverheid-0c66fcb71625dc29560be1035595d021,,,"Biodiversity|Climate change|Directive (European Union)",dut,"Ministerie van Infrastructuur en Waterstaat","SDG 14: Life Below Water|SDG Target 14.2","Marine environment assessment and management"
trafikverket-448f32a355557f9d9f686212690244b1,"Geosystem services to support planning and management of the subsurface",,Publication,Trafikverket,Sweden,,"Public Sector",Government,"National Body|Government Agency|Public Service|Monitoring or Regulatory Body",2025-12-18,0,0,http://trafikverket.diva-portal.org/smash/get/diva2:2047179/FULLTEXT01.pdf,https://app.overton.io/document.php?policy_document_id=trafikverket-448f32a355557f9d9f686212690244b1,,,"Biodiversity|Choice modelling|Concept",eng,,"SDG 15: Life on Land|SDG Target 15.1|SDG Target 15.9","Geosystem services and subsurface planning"
jointresearcheu-95d614b7a6ed4e9f6112df9baf2102c8,"The Global Biodiversity Data Viewer 1.0",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2025-12-11,0,0,https://publications.jrc.ec.europa.eu/repository/handle/JRC143989,https://app.overton.io/document.php?policy_document_id=jointresearcheu-95d614b7a6ed4e9f6112df9baf2102c8,,,Agriculture|Biodiversity|Biogeography,eng,,"SDG 15: Life on Land|SDG Target 15.5|SDG Target 15.9","Biodiversity Data Viewer"
europa-c5579bff26e445b1e7a7e0d183cb726b,"The global biodiversity data viewer 1.0",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2025-12-11,1,1,https://op.europa.eu/en/publication-detail/-/publication/bebda42f-daf4-11f0-8da2-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-c5579bff26e445b1e7a7e0d183cb726b,,,Agriculture|Biodiversity|Biogeography,eng,"Goutis, Dimitrios|Mandrici, Andrea|Lazaro, Cristina|Delli, Giacomo|Velasco Gomez, Marcela|Zanardi, Christian|Dubois, Gregoire","SDG 15: Life on Land|SDG Target 15.5|SDG Target 15.9","Global Biodiversity Data Viewer"
biodiversafr-4307d1e6f2b863e679948256160ea7f2,"A business guide to using biodiversity data",,Publication,Biodiversa+,France,,"Public Sector",Government,"Research Centre",2025-12-01,0,0,https://www.biodiversa.eu/2026/01/20/a-business-guide-to-using-biodiversity-data/,https://app.overton.io/document.php?policy_document_id=biodiversafr-4307d1e6f2b863e679948256160ea7f2,,,"Analytics|Biodiversity|Biodiversity loss",eng,,"SDG 15: Life on Land|SDG Target 15.5|SDG Target 15.9","Use of public biodiversity and nature-related data in the private sector"
