Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,SP1_2_Ci_t_UNEP,extent_of_unep_attributed_sp1_2_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_sp1_2_policy_adoption,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_instrument_type,best_evidence_action_stage,best_evidence_level,best_evidence_climate_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2018-2022,2018,2022,2020,68,1,64.0,strong evidence,64.0,64.0,True,Strategic Frameworks support for Brazil through UNEP,https://www.greenclimate.fund/document/strategic-frameworks-support-brazil-through-unep,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,www_greenclimate_fund_Strategic_Frameworks_support_for_Brazil_through_UN.txt,NDC implementation plan,developed,national,"The document mentions Brazil's Nationally Determined Contribution (NDC) and a project prepared in partnership between the Ministry of Science, Technology, Innovations and Communications (MCTIC) and UN Environment to support the implementation of the NDC.",The document explicitly mentions UNEP's involvement in supporting Brazil through a project 'Mitigation Options of GHG Emissions in Key Sectors in Brazil' and a proposal for a 'Technology Needs Assessment for the Implementation of Climate Action Plans in Brazil'.,"[""Brazil submitted the document ratifying the Paris Agreement in September 2016, in which it committed to reduce GHG emissions by means of a Nationally Determined Contribution (NDC)."", ""The project ’Mitigation Options of GHG Emissions in Key Sectors in Brazil’, prepared in a partnership between the Ministry of Science, Technology, Innovations and Communications (MCTIC) and UN Environment, indicated a rationale that takes into consideration sector cost-effectiveness and key technologies for compliance with the NDC."", ""Therefore, this proposal seeks to develop a comprehensive ‘Technology Needs Assessment for the Implementation of Climate Action Plans in Brazil’.""]"
Brazil,2022-2026,2022,2026,2024,63,2,64.81,strong evidence,65.61,129.61,True,New investments aim to scale up digitalization of energy ...,https://www.unep.org/news-and-stories/press-release/new-investments-aim-scale-digitalization-energy-and-agri-food,in collaboration with UNEP Brazil low emission development strategy revised policy strategy legal framework law regulation action plan after:2022-01-01 before:2026-01-01,www_unep_org_New_investments_aim_to_scale_up_digitalization_of_.txt,climate resilience strategy,launched,national,"The document mentions the launch of Phase II of the Digital Demand-Driven Electricity Networks (3DEN) Initiative in Brazil, which aims to advance digitalization of energy and agri-food systems, strengthen climate resilience, and support low-carbon energy systems.","The document explicitly mentions UNEP's collaboration and support for the 3DEN Initiative, including its launch and funding. UNEP is credited with leading the initiative alongside the International Energy Agency and with support from Italy's Ministry for the Environment and Energy.","[""UNEP in collaboration with the International Energy Agency and supported by Italy’s Ministry for the Environment and Energy, announced the second phase of the Digital Demand-Driven Electricity Networks (3DEN) Initiative"", ""Phase II of 3DEN will accelerate the digital innovation needed to modernize power and agri-food systems and fully harness the potential of renewable energy"", ""3DEN supports countries to build smarter, more resilient and low-carbon energy and agri-food systems""]"
Ghana,2018-2022,2018,2022,2020,40,0,0.0,no evidence,0.0,0.0,False,GOVERNMENT OF GHANA,https://cdn.climatepolicyradar.org/navigator/GHA/2021/medium-term-development-policy-framework-2022-2025_3d89979e1c16727fdc3b701413db4d98.pdf,UNEP capacity building Ghana low emission development strategy revised policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,cdn_climatepolicyradar_org_GOVERNMENT_OF_GHANA.txt,none,none,national,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Ghana during 2018-2022.","There is no explicit link between UNEP and any climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework in Ghana during 2018-2022.",[]
Ghana,2022-2026,2022,2026,2024,53,2,68.81,strong evidence,72.0,137.61,True,Ghana unveils $20bn plan to strengthen climate adaptation ...,https://www.facebook.com/Diamond93.7/posts/ghana-unveils-20bn-plan-to-strengthen-climate-adaptationghana-has-officially-lau/1475635417896294/,UNEP project Ghana adaptation policy launched policy strategy legal framework law regulation action plan after:2022-01-01 before:2026-01-01,www_facebook_com_Ghana_unveils_20bn_plan_to_strengthen_climate_adap.txt,National Adaptation Plan (NAP),launched,national,"The document provides clear evidence of Ghana's officially launched National Adaptation Plan (NAP), which is a climate adaptation strategy/policy/legal framework.","The document explicitly mentions that the NAP was developed with support from UNEP as the delivery partner, indicating a clear link between UNEP and the development of the NAP.","[""Ghana has officially launched its National Adaptation Plan (NAP)"", ""developed with support from the Green Climate Fund (GCF) and the United Nations Environment Programme (UNEP) as the delivery partner""]"
Kenya,2018-2022,2018,2022,2020,62,0,0.0,no evidence,0.0,0.0,False,National Climate Change Framework Policy,http://aiap.or.ke/wp-content/uploads/2018/10/Climate-Change-Framework-PolicyMay2017.pdf,UNEP initiative Kenya adaptation policy validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,aiap_or_ke_National_Climate_Change_Framework_Policy.txt,National Climate Change Framework Policy,adopted,national,"The document provides a comprehensive framework for addressing climate change in Kenya, including mitigation, adaptation, and disaster risk reduction strategies. It outlines policy statements and guidelines for various sectors, such as low carbon growth, climate resilience, and mainstreaming climate change into planning processes.",There is no explicit mention of UNEP's role in supporting or enabling the adoption of the National Climate Change Framework Policy in Kenya.,"[""The Government of Kenya has developed this National Climate Change Framework Policy to provide a clear and concise articulation of overall response priorities to climate variability and change."", ""The Policy aims to enhance adaptive capacity and build resilience to climate variability and change, while promoting a low carbon development pathway."", ""The Policy provides a framework to guide the development and implementation of specific, detailed and costed climate change interventions through regular and periodic Climate Change Action Plans.""]"
Kenya,2022-2026,2022,2026,2024,52,0,0.0,no evidence,0.0,0.0,False,Legal Framework and Policy Design,https://aqmx.org/content/legal-framework-and-policy-design,UNEP project Kenya climate change act approved policy strategy legal framework law regulation action plan after:2022-01-01 before:2026-01-01,aqmx_org_Legal_Framework_and_Policy_Design.txt,none,none,unclear,,,[]
Lebanon,2018-2022,2018,2022,2020,55,0,0.0,no evidence,0.0,0.0,False,United Nations Environment Assembly of the ...,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_1_inf_4_unea2_edited.pdf,UNEP assisted Lebanon climate change regulation revised policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,apps1_unep_org_United_Nations_Environment_Assembly_of_the_.txt,none,none,none,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Lebanon in 2018-2022.","The document does not explicitly link UNEP to any climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework in Lebanon in 2018-2022.",[]
Lebanon,2022-2026,2022,2026,2024,59,1,64.0,strong evidence,64.0,64.0,True,SwitchMed in Lebanon,https://www.unep.org/resources/policy-and-strategy/switchmed-lebanon,UNEP provided technical assistance Lebanon climate law endorsed policy strategy legal framework law regulation action plan after:2022-01-01 before:2026-01-01,www_unep_org_SwitchMed_in_Lebanon.txt,National Action Plan,developed,national,The Lebanese Sustainable Consumption and Production National Action Plan (SCP-NAP) was developed under the coordination of the Ministry of Environment (MoE) with advisory services and technical support from the United Nations Environment Programme (UNEP).,UNEP provided advisory services and technical support for the development of the Lebanese Sustainable Consumption and Production National Action Plan (SCP-NAP).,"[""The Lebanese Sustainable Consumption and Production National Action Plan (SCP-NAP) was developed under the coordination of the Ministry of Environment (MoE) in close collaboration with the Ministry of Industry (MoI) and other key partners under the EU funded SwitchMed programme. with advisory services and technical support from the United Nations Environment Programme (UNEP).""]"
Rwanda,2018-2022,2018,2022,2020,59,0,0.0,no evidence,0.0,0.0,False,DRAFT AFRICA CLIMATE CHANGE STRATEGY 2020 - 2030,https://archive.uneca.org/sites/default/files/uploaded-documents/ACPC/2020/africa_climate_change_strategy_-_revised_draft_16.10.2020.pdf,UNEP supported Rwanda low emission development strategy adopted policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,archive_uneca_org_DRAFT_AFRICA_CLIMATE_CHANGE_STRATEGY_2020_2030.txt,none,none,global,"The document does not contain explicit evidence related to Rwanda's climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework for the period 2018-2022.",There is no explicit link between UNEP and any climate policy or strategy in Rwanda for the period 2018-2022.,[]
Rwanda,2022-2026,2022,2026,2024,72,2,48.0,moderate evidence,48.0,96.0,True,A Climate adaptation case study | UNEP,https://www.unep.org/es/node/37537,UNEP assisted Rwanda climate adaptation plan promulgated policy strategy legal framework law regulation action plan after:2022-01-01 before:2026-01-01,www_unep_org_A_Climate_adaptation_case_study_UNEP.txt,climate adaptation case study,developed,national,The document mentions a project supported by UNEP and funded by the GEF to increase the capacity of Rwandan authorities and local communities to adapt to climate change using nature-based solutions.,The document explicitly mentions that the project is supported by the UN Environment Programme (UNEP) and funded by the Global Environment Facility (GEF).,"[""A project supported by the UN Environment Programme (UNEP) and funded by the Global Environment Facility (GEF) is aiming to increase the capacity of Rwandan authorities and local communities to adapt to climate change using nature-based solutions.""]"
