Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,climate_relevant,unep_attributed,attributable_relevant_doc,sd,climate_policy_score,unep_attribution_score,instrument_type,action_stage,evidence_level,climate_justification,unep_justification,evidence_phrases
Brazil,2018-2022,http://climatepolicyinitiative.org/wp-content/uploads/2018/12/Understanding-and-Increasing-Finance-for-Climate-Adaptation-in-Developing-Countries.pdf,2018,2022,2020,Understanding-and-Increasing-Finance-for- ...,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,climatepolicyinitiative_org_Understanding_and_Increasing_Finance_for_.txt,True,False,False,,40.0,0.0,climate change adaptation finance report,published,global,"The document discusses climate adaptation finance and provides insights on policies, trends, and barriers related to climate adaptation investments in developing countries, including Brazil. It highlights the importance of adaptation finance and the need for increased investment.",There is no explicit mention of UNEP's role in supporting or enabling the climate policy or legal framework outcomes in Brazil during 2018-2022.,"[""The report explores the current state of finance for climate adaptation and proposes practical, near-term solutions to both fill in knowledge gaps and to increase investment."", ""The frequency and magnitude of natural hazards triggered by climate change has been increasing globally, leading to USD 1.5 trillion in economic damages from 2003 to 2013."", ""The costs of adaptation in developing countries could range from USD 140 billion to USD 300 billion per year by 2030."", ""The Paris Agreement, the 2030 Agenda for Sustainable Development and its 17 Sustainable Development Goals (SDGs), and the Sendai Framework for Disaster Risk Reduction."", ""Multilateral development finance institutions (DFIs) are the main providers of global public finance for adaptation, accounting for USD 8 billion on average, or 36% of the total adaptation finance tracked in 2015/2016.""]"
Brazil,2018-2022,https://agenda2030lac.org/en/sdg/13-climate-action,2018,2022,2020,13. Climate action | 2030 Agenda in Latin America and the ...,UNEP implemented Brazil nationally determined contribution enacted policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,agenda2030lac_org_13_Climate_action_2030_Agenda_in_Latin_America_and.txt,True,False,False,,60.0,0.0,"national adaptation plan, climate law, NDC","developed, submitted",regional,"The document mentions that Brazil, along with other countries, has made progress in climate action, including submitting updated nationally determined contributions, national adaptation plans, and long-term strategies. It also notes that 11 countries in the region have national climate change laws in place, and 4 others are in the process of adopting them.",There is no explicit mention of UNEP's role in supporting or enabling the climate policy outcomes in Brazil or the region.,"[""29 of the 33 countries have either submitted updated nationally determined contributions or successive nationally determined contributions to the United Nations Framework Convention on Climate Change (UNFCCC)"", ""15 countries in the region have submitted their national adaptation plans"", ""8 countries have defined their long-term strategies"", ""Brazil, Chile, Grenada, Saint Lucia and Uruguay, which have even submitted sectoral adaptation plans"", ""11 countries have national climate change laws in place, while 4 others are in the process of adopting them""]"
Brazil,2018-2022,https://antigo.mctic.gov.br/mctic/export/sites/institucional/arquivos/SIRENE/Comunicacoes-Nacionais-do-Brasil-a-UNFCCC/2020_12_22_4CN_v5_Ingles.pdf,2018,2022,2020,Fourth National Communication of Brazil to the UNFCCC - MCTI,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,antigo_mctic_gov_br_Fourth_National_Communication_of_Brazil_to_the_UNF.txt,True,False,False,,81.0,0.0,National Communication,adopted,national,"The document provides detailed information on Brazil's climate change mitigation and adaptation measures, including the submission of National Communications to the UNFCCC.",There is no explicit mention of UNEP's involvement in the development or implementation of Brazil's climate policies.,"[""The Ministry of Science, Technology and Innovations (MCTI) implements an international technical cooperation project with international funds sourced from the Global Environment Facility (GEF) and the support of the United Nations Development Programme (UNDP)."", ""Brazil has submitted three National Communications, in 2004, 2010 and 2016. Moreover, three Biennial Updates Reports were submitted in 2014, 2017 and 2019.""]"
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_1_inf_4_unea2_edited.pdf,2018,2022,2020,United Nations Environment Assembly of the ...,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,apps1_unep_org_United_Nations_Environment_Assembly_of_the_.txt,False,False,False,,0.0,0.0,none,none,none,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Brazil in 2018-2022.","The document does not explicitly link UNEP to any climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework in Brazil in 2018-2022.","[""No relevant evidence found""]"
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_inf3_full_assessment_en.pdf,2018,2022,2020,Combating marine plastic litter and microplast,UNEP implemented Brazil nationally determined contribution enacted policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,apps1_unep_org_Combating_marine_plastic_litter_and_microplast.txt,False,False,False,,0.0,0.0,none,none,none,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Brazil in 2018-2022.",The document does not explicitly link UNEP to strengthening/enabling/adoption/implementation of any climate policy/strategy/legal framework in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://climate.mit.edu/posts/climate-change-mexico,2018,2022,2020,Climate Change in Mexico,UNEP implemented Brazil nationally determined contribution enacted policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,climate_mit_edu_Climate_Change_in_Mexico.txt,False,False,False,,0.0,0.0,none,none,unclear,"The document does not contain explicit evidence related to Brazil during 2018-2022. It primarily discusses climate change in Mexico, its policies, and institutions.",There is no explicit link between UNEP and any climate policy or strategy in Brazil during 2018-2022 mentioned in the document.,[]
Brazil,2018-2022,https://documents.worldbank.org/en/publication/documents-reports/docadvancesearch,2018,2022,2020,Documents & Reports - Advanced Search | The World Bank,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,documents_worldbank_org_Documents_Reports_Advanced_Search_The_World_Bank.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://documents1.worldbank.org/curated/en/383011492423734099/pdf/114278-WP-REVISED-PUBLIC-Environmental-and-Social-Framework.pdf,2018,2022,2020,World Bank Environmental and Social Framework,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,documents1_worldbank_org_World_Bank_Environmental_and_Social_Framework.txt,False,False,False,,0.0,0.0,none,none,none,"The document is not related to Brazil or the time window 2018-2022. It appears to be a World Bank Environmental and Social Framework document, which does not contain specific information about Brazil's climate policies or UNEP's involvement.",There is no mention of UNEP in the provided document text.,[]
Brazil,2018-2022,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,2018,2022,2020,First Global Report,UNEP provided technical assistance Brazil climate change regulation validated policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,environmentalmigration_iom_int_First_Global_Report.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://faolex.fao.org/docs/pdf/guy199315.pdf,2018,2022,2020,Green State Development Strategy: Vision 2040,UNEP implemented Brazil nationally determined contribution enacted policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,faolex_fao_org_Green_State_Development_Strategy_Vision_2040.txt,False,False,False,,0.0,0.0,none,none,national,"The document is about Guyana's Green State Development Strategy: Vision 2040, which is not related to Brazil. Therefore, it does not contain explicit evidence about Brazil's climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks adopted during 2018-2022.",There is no explicit link between UNEP and Guyana's Green State Development Strategy: Vision 2040 in the provided document.,"[""The Green State Development Strategy: Vision 2040 is Guyana’s twenty-year, national development policy""]"
