Title,URL,TextFile,Status,Reason
Transforming the finance sector with technical assistance,https://newclimate.org/sites/default/files/2021/06/SNAPFI.-Transforming-Kenyas-Financial-Sector.pdf,newclimate_org_Transforming_the_finance_sector_with_technical_ass.txt,failed,[BLOCKED_403] https://newclimate.org/sites/default/files/2021/06/SNAPFI.-Transforming-Kenyas-Financial-Sector.pdf
Record of Proceedings,https://gggi.org/wp-content/uploads/2021/12/GGGWeek2021-Proceedings_20211216_.pdf,gggi_org_Record_of_Proceedings.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='gggi.org', port=443): Read timed out. (read timeout=25)"
Global adaptation governance: An emerging but contested ...,https://weadapt.org/wp-content/uploads/2023/05/globaladaptationgovernance_0.pdf,weadapt_org_Global_adaptation_governance_An_emerging_but_conte.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Republic of Kenya Land Degradation Neutrality Target ...,https://www.unccd.int/sites/default/files/ldn_targets/2020-09/Kenya%20LDN%20TSP%20Final%20Report%20%28English%29.pdf,www_unccd_int_Republic_of_Kenya_Land_Degradation_Neutrality_Targ.txt,failed,"[PDF ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
GCA State and Trends in Adaptation Report 2021: Africa,https://gca.org/wp-content/uploads/2021/10/GCA_State-and-Trends-in-Adaptation-2021-Africa_full-report_low-res.pdf,gca_org_GCA_State_and_Trends_in_Adaptation_Report_2021_Afr.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
NATIONAL ADAPTATION PLANS,https://unfccc.int/sites/default/files/resource/UNHabitat_Addressing_urban_human_settlements_issues_in_NAPs.pdf,unfccc_int_NATIONAL_ADAPTATION_PLANS.txt,failed,"[FETCH ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Private-sector action in adaptation: Perspectives on the ...,https://unepccc.org/wp-content/uploads/2019/04/msme-adaptation-updated-web-2.pdf,unepccc_org_Private_sector_action_in_adaptation_Perspectives_o.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Demystifying Finance for Circular Economies,https://www.unepfi.org/wordpress/wp-content/uploads/2021/03/UNEPFI_DemystfyingFinanceCircularity-2020-2.pdf,www_unepfi_org_Demystifying_Finance_for_Circular_Economies.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Independent evaluation of the adaptation portfolio and ...,https://ieu.greenclimate.fund/sites/default/files/document/210223-adaptation-final-report-top.pdf,ieu_greenclimate_fund_Independent_evaluation_of_the_adaptation_portfolio.txt,failed,"[PDF ERROR] ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kenya Country Environmental Analysis - World Bank Document,https://documents1.worldbank.org/curated/en/939861592515485722/pdf/Kenya-Country-Environmental-Analysis.pdf,documents1_worldbank_org_Kenya_Country_Environmental_Analysis_World_Bank_Do.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
