Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile,climate_relevant,unep_attributed,climate_policy_score,unep_attribution_score,instrument_type,action_stage,evidence_level,climate_justification,unep_justification,evidence_phrases
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,National Climate Change Action Plan 2018-2022,https://napglobalnetwork.org/wp-content/uploads/2022/01/napgn-en-2022-kenya-NCCAP-2018-2022-Implemantation-Status-Report.pdf,It is a five-year plan that provides an overarching blueprint to guide the mainstreaming of adaptation and mitigation actions across sectors and levels of ...,https://napglobalnetwork.org › uploads › 2022/01,napglobalnetwork_org_National_Climate_Change_Action_Plan_2018_2022.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Kenya,https://climateactiontracker.org/countries/kenya/2021-09-15/policies-action/,"The Act mandates the government to develop a National Climate Change Action Plan (NCCAP) and update it every five years (Republic of Kenya, 2016b). The second ...",https://climateactiontracker.org › kenya › policies-action,climateactiontracker_org_Kenya.txt,True,False,80,0,climate change mitigation strategy / adaptation strategy / legal framework,adopted / implemented,national,"The document provides evidence of Kenya's climate change policies and actions, including the Climate Change Act (2016), the National Climate Change Action Plan (NCCAP) 2018-2022, and sector-specific strategies. These policies and plans demonstrate a clear effort to address climate change mitigation and adaptation.",There is no explicit mention of UNEP's involvement or support in the development or implementation of Kenya's climate change policies and strategies.,"[""The Kenyan Government had already adopted the Climate Change Act (2016), which provides a framework for the promotion of climate-resilient low-carbon economic development"", ""The second and most recent NCCAP covers the period between 2018-2022 and its main objective is to guide climate action during that time and support the implementation of Kenya’s NDC"", ""The Ministry of Agriculture’s Climate Smart Agriculture (CSA) Strategy 2017-2026 is considered a tool to implement mitigation actions in the agriculture sector in contribution to Kenya’s NDC""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,NATIONAL CLIMATE CHANGE ACTION PLAN 2018-2022 ...,https://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/10/8737.pdf,This Act requires the Government to develop five-year. National Climate Change Action Plans (NCCAP) to guide the mainstreaming of adaptation and mitigation ...,https://www.lse.ac.uk › uploads › 2018/10,www_lse_ac_uk_NATIONAL_CLIMATE_CHANGE_ACTION_PLAN_2018_2022_.txt,True,False,80,0,National Climate Change Action Plan,adopted,national,"The document provides explicit evidence of Kenya's adoption of a climate change action plan, specifically the National Climate Change Action Plan 2018-2022, which outlines the country's climate change response strategy, priority actions, and enabling framework.",There is no explicit mention of UNEP's role in supporting the development or implementation of Kenya's National Climate Change Action Plan 2018-2022.,"[""The National Climate Change Action Plan (NCCAP) 2018-2022 aims to further Kenya’s development goals by providing mechanisms and measures to achieve low carbon climate resilient development in a manner that prioritises adaptation."", ""The plan builds on the first Action Plan (2013-2017) and provides a framework for Kenya to deliver on its Nationally Determined Contribution (NDC) under the Paris Agreement of the United Nations Framework Convention on Climate Change (UNFCCC)."", ""Kenya takes climate change seriously, as demonstrated by the enactment of the Climate Change Act (Number 11 of 2016).""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,The Landscape of Climate Finance in Kenya,https://www.climatepolicyinitiative.org/wp-content/uploads/2021/03/The-Landscape-of-Climate-Finance-in-Kenya.pdf,Kenya is currently implementing the second action plan. (NCCAP 2018-2022). ... been involved in the development of the legal and policy framework for ...,https://www.climatepolicyinitiative.org › 2021/03,www_climatepolicyinitiative_org_The_Landscape_of_Climate_Finance_in_Kenya.txt,True,False,81,0,National Climate Change Action Plan / Nationally Determined Contribution / climate finance tracking,adopted / implemented,national,"The document provides detailed information on Kenya's climate policies, including the National Climate Change Response Strategy, the National Climate Change Framework Policy, the National Policy on Climate Finance, the Green Economy Strategy and Implementation Plan, and the Climate Change Act, 2016. These policies demonstrate Kenya's efforts to address climate change and provide a framework for climate action.",There is no explicit mention of UNEP's involvement in supporting Kenya's climate policies or actions.,"[""Kenya's NDC targets 30% emission reduction by 2030 relative to Business as Usual (BAU) scenario."", ""The National Climate Change Action Plan 2018-2022 (NCCAP) outlines priority actions for climate change mitigation and adaptation."", ""The Green Economy Strategy and Implementation Plan 2016-2030 aims to transition Kenya to a low-carbon and climate-resilient economy."", ""The Climate Change Act, 2016 provides a legal framework for climate change actions in Kenya.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Kenya National Energy Efficiency and Conservation Strategy,https://unepccc.org/wp-content/uploads/2020/09/kenya-national-energy-efficiency-and-conservation-strategy-2020-1.pdf,"The initiatives focus on the realization of improved energy access, energy efficiency and conservation. Climate change-related regulations and strategies.",https://unepccc.org › uploads › 2020/09 › kenya...,unepccc_org_Kenya_National_Energy_Efficiency_and_Conservation_.txt,True,False,81,0,National Energy Efficiency and Conservation Strategy,adopted,national,"The document provides explicit evidence of Kenya's adoption of a climate change mitigation strategy, specifically the Kenya National Energy Efficiency and Conservation Strategy 2020, which aims to improve energy efficiency and reduce greenhouse gas emissions.",There is no explicit mention of UNEP's involvement in the adoption or implementation of the Kenya National Energy Efficiency and Conservation Strategy 2020.,"[""The Kenya National Energy Efficiency and Conservation Strategy (NEECS) is the roadmap towards achieving energy efficiency goals that will have an overall positive impact on Kenya’s economy."", ""The Ministry of Energy, the Kenya Association of Manufacturers and other stakeholders have championed energy efficiency in Kenya since the early 2000s in both the public and the private sectors."", ""The NEECS development process consisted of five stages. The first stage involved situational analysis of the five thematic sectors that were identified for improvement of energy efficiency and conservation: Households, Buildings, Industry and Agriculture, Transport and Power Utilities.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Climate risk regulation in Africa's financial sector and ...,https://www.unepfi.org/wordpress/wp-content/uploads/2021/11/Climate-risk-regulation-in-Africas-financial-sector-and-related-private-sector-initiatives-Report.pdf,"In contrast, others are engaged in or committing to global initiatives like UNEP FI and the Net Zero Banking Alliance. (NZBA), developing sustainability and ...",https://www.unepfi.org › uploads › 2021/11 › Cl...,www_unepfi_org_Climate_risk_regulation_in_Africa_s_financial_sect.txt,True,False,81,0,climate risk regulation,adopted,national,"The Central Bank of Kenya (CBK) issued the Guidance on Climate-Related Risk Management to commercial banks and mortgage finance companies on October 15, 2021. This guidance enables banks to integrate climate-related opportunities and risks in their governance structure, strategy, and risk management frameworks.",There is no explicit mention of UNEP's role in the development or implementation of Kenya's climate risk regulation.,"[""On October 15, 2021, the Central Bank of Kenya (CBK) issued the Guidance on Climate-Related Risk Management to commercial banks and mortgage finance companies, enabling banks to integrate climate-related opportunities and risks in their governance structure, strategy, and risk management frameworks.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Kenya urges the UN Security Council to engage actively ...,https://www.facebook.com/ForeignOfficeKE/posts/kenya-urges-the-un-security-council-to-engage-actively-on-climate-change-matters/4862445383765835/,"Kenya urges the UN Security Council to engage actively on Climate Change matters New York, USA, October 18, 2021 (MFA Press) ..... During the...",30+ reactions,www_facebook_com_Kenya_urges_the_UN_Security_Council_to_engage_acti.txt,True,False,0,0,none,none,national,"The document does not provide explicit evidence of climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks adopted in Kenya during 2018-2022.","Although UNEP is mentioned, there is no explicit link between UNEP and the adoption, approval, enactment, endorsement, launch, or implementation of climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks in Kenya during 2018-2022.","[""Kenya urges the UN Security Council to engage actively on Climate Change matters"", ""Adapting to sea level rise and climate Change will be expensive"", ""the need to benefit from the Science-Policy Interface that is anchored in the work of the United Nations Environment Programme (UNEP)""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,"Cleaning the air, protecting the climate: Policy, legal and ...",https://www.sciencedirect.com/science/article/pii/S1462901118309468,The main objective of this paper is to analyse the current policy and legal status of black carbon emissions across the domains of air pollution prevention and ...,https://www.sciencedirect.com › science › article › pii,www_sciencedirect_com_Cleaning_the_air_protecting_the_climate_Policy_leg.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Transforming the finance sector with technical assistance,https://newclimate.org/sites/default/files/2021/06/SNAPFI.-Transforming-Kenyas-Financial-Sector.pdf,Economy Strategy and Implementation Plan and the National Policy on Climate Finance outline Kenya's ambitions for sustainable development. The preamble of ...,https://newclimate.org › default › files › 2021/06,newclimate_org_Transforming_the_finance_sector_with_technical_ass.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Greening Kenya's Special Economic Zones and Industrial ...,https://researchleap.com/greening-kenyas-special-economic/,"The policy framework for green economy in Kenya is spelled out in the constitution of Kenya 2010, Kenya Vision 2030, Green Economy Strategy and Implementation ...",https://researchleap.com › greening-kenyas-special-econ...,researchleap_com_Greening_Kenya_s_Special_Economic_Zones_and_Indust.txt,False,False,0,0,none,none,none,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya in 2018-2022.",There is no explicit link between UNEP and any climate policy or strategy in Kenya during 2018-2022.,[]
