Title,URL,TextFile,Status,Reason
UN Environment Global Chemicals Outlook II,https://orbit.dtu.dk/files/170843838/GCOII_synth.pdf,orbit_dtu_dk_UN_Environment_Global_Chemicals_Outlook_II.txt,failed,[BLOCKED_403] https://orbit.dtu.dk/files/170843838/GCOII_synth.pdf
South Africa,https://www.oneplanetnetwork.org/countries/africa/south-africa,www_oneplanetnetwork_org_South_Africa.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/countries/africa/south-africa
"ONE HEALTH POLICY CONTEXT OF ETHIOPIA, SOMALIA ...",https://cgspace.cgiar.org/bitstreams/82606776-3b06-4378-afce-61a14388b5c5/download,cgspace_cgiar_org_ONE_HEALTH_POLICY_CONTEXT_OF_ETHIOPIA_SOMALIA_.txt,failed,[BLOCKED_429] https://cgspace.cgiar.org/bitstreams/82606776-3b06-4378-afce-61a14388b5c5/download
Ecosystem-based adaptation in Lake Victoria Basin; synergies ...,https://royalsocietypublishing.org/rsos/article/8/6/201847/96053/Ecosystem-based-adaptation-in-Lake-Victoria-Basin,royalsocietypublishing_org_Ecosystem_based_adaptation_in_Lake_Victoria_Basin_.txt,failed,[BLOCKED_403] https://royalsocietypublishing.org/rsos/article/8/6/201847/96053/Ecosystem-based-adaptation-in-Lake-Victoria-Basin
Policy Brief No. 1 Human rights-based approaches to ...,https://www.ohchr.org/Documents/Issues/Environment/SREnvironment/policy-briefing-1.pdf,www_ohchr_org_Policy_Brief_No_1_Human_rights_based_approaches_to.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.ohchr.org', port=443): Read timed out. (read timeout=25)"
Protected area governance and management,https://rris.biopama.org/sites/default/files/2021-06/giz2021-0002en-protected-area-resource-book.pdf,rris_biopama_org_Protected_area_governance_and_management.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='rris.biopama.org', port=443): Read timed out. (read timeout=25)"
"(PDF) UNEP 2021, Sustainable Public Procurement",https://www.researchgate.net/publication/355889107_UNEP_2021_Sustainable_Public_Procurement_How_to_Wake_the_Sleeping_Giant_Introducing_the_United_Nations_Environment_Programme's_Approach,www_researchgate_net__PDF_UNEP_2021_Sustainable_Public_Procurement.txt,failed,[BLOCKED_403] https://www.researchgate.net/publication/355889107_UNEP_2021_Sustainable_Public_Procurement_How_to_Wake_the_Sleeping_Giant_Introducing_the_United_Nations_Environment_Programme's_Approach
Action Plan for the UN Decade on Ecosystem Restoration,https://iris.unibas.it/retrieve/65cc01ee-5b65-40df-b978-8a9c93003e09/UNDecade_ActionPlan.pdf,iris_unibas_it_Action_Plan_for_the_UN_Decade_on_Ecosystem_Restora.txt,failed,[BLOCKED_403] https://iris.unibas.it/retrieve/65cc01ee-5b65-40df-b978-8a9c93003e09/UNDecade_ActionPlan.pdf
The United Nations Decade on Ecosystem Restoration,https://globalseaweed.org/wp-content/uploads/2024/12/UN-Decade-on-Ecosystem-Restoration-Strategy.pdf,globalseaweed_org_The_United_Nations_Decade_on_Ecosystem_Restoration.txt,failed,[BLOCKED_403] https://globalseaweed.org/wp-content/uploads/2024/12/UN-Decade-on-Ecosystem-Restoration-Strategy.pdf
Assessing Kenya's Climate Adaptation and Mitigation ...,https://cgspace.cgiar.org/bitstreams/87a088cf-5364-4585-8179-cda154dc9cf2/download,cgspace_cgiar_org_Assessing_Kenya_s_Climate_Adaptation_and_Mitigatio.txt,failed,[BLOCKED_429] https://cgspace.cgiar.org/bitstreams/87a088cf-5364-4585-8179-cda154dc9cf2/download
Action Plan for the Decade on Ecosystem Restoration in ...,https://clmeplus.org/app/uploads/2021/02/ActionPlan_Restoration_LAC.pdf,clmeplus_org_Action_Plan_for_the_Decade_on_Ecosystem_Restoratio.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Mitigating the Effects of Climate Change in Kenya,https://erepository.uonbi.ac.ke/bitstreams/0b4528df-f73b-48d3-92b2-ee00073b894b/download,erepository_uonbi_ac_ke_Mitigating_the_Effects_of_Climate_Change_in_Kenya.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='erepository.uonbi.ac.ke', port=443): Max retries exceeded with url: /bitstreams/0b4528df-f73b-48d3-92b2-ee00073b894b/download (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1135)')))"
Medium-Term Strategy 2022—2025 | Global Seaweed,https://globalseaweed.org/wp-content/uploads/2024/12/freecompress-UNEP-Medium-Term-Strategy-2022-2025.pdf,globalseaweed_org_Medium_Term_Strategy_2022_2025_Global_Seaweed.txt,failed,[BLOCKED_403] https://globalseaweed.org/wp-content/uploads/2024/12/freecompress-UNEP-Medium-Term-Strategy-2022-2025.pdf
Nature-based solutions and carbon credit initiatives in Kenya ...,https://pure.diis.dk/ws/files/28455239/2025_Nature_based_Solutions_and_carbon_credit_initiatives_in_Kenya.pdf,pure_diis_dk_Nature_based_solutions_and_carbon_credit_initiativ.txt,failed,[PDF ERROR] PyCryptodome is required for AES algorithm
FROM POLLUTION TO SOLUTION,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.gdr-po.cnrs.fr', port=443): Max retries exceeded with url: /docs/UNEP_2021.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1135)')))"
SOER REPORT,https://www.unicef.org/lebanon/media/7161/file/SOER_Report_EN.pdf,www_unicef_org_SOER_REPORT.txt,failed,[BLOCKED_403] https://www.unicef.org/lebanon/media/7161/file/SOER_Report_EN.pdf
LESSONS IN MULTILATERAL EFFECTIVENESS,https://www.mopan.org/content/dam/mopan/en/publications/our-work/insights/lme-climate/mopan-lme-climate-change-volume2.pdf,www_mopan_org_LESSONS_IN_MULTILATERAL_EFFECTIVENESS.txt,failed,[BLOCKED_403] https://www.mopan.org/content/dam/mopan/en/publications/our-work/insights/lme-climate/mopan-lme-climate-change-volume2.pdf
Mediterranean wetland restoration: an urgent priority,https://ufmsecretariat.org/wp-content/uploads/2022/03/Restoration-policy-paper_LongVersion.pdf,ufmsecretariat_org_Mediterranean_wetland_restoration_an_urgent_priori.txt,failed,"[FETCH ERROR] (""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
BioConnect,https://www.etc.uma.es/bioconnect/,www_etc_uma_es_BioConnect.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.etc.uma.es', port=443): Max retries exceeded with url: /bioconnect/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1135)')))"
Promoting Nature-based Solutions and Sustainable ...,https://unece.org/sites/default/files/2025-11/NbS%202515391E_WEB.pdf,unece_org_Promoting_Nature_based_Solutions_and_Sustainable_.txt,failed,[BLOCKED_403] https://unece.org/sites/default/files/2025-11/NbS%202515391E_WEB.pdf
(PDF) United Nations Environment Program (UNEP),https://www.researchgate.net/publication/363258265_United_Nations_Environment_Program_UNEP,www_researchgate_net__PDF_United_Nations_Environment_Program_UNEP_.txt,failed,[BLOCKED_403] https://www.researchgate.net/publication/363258265_United_Nations_Environment_Program_UNEP
National Biodiversity Strategy and Action Plan to 2030,https://era.org.mt/wp-content/uploads/2024/09/NBSAP-to-2030_final_compressed.pdf,era_org_mt_National_Biodiversity_Strategy_and_Action_Plan_to_.txt,failed,[BLOCKED_403] https://era.org.mt/wp-content/uploads/2024/09/NBSAP-to-2030_final_compressed.pdf
Using International Environmental Law to Enhance ...,https://academic.oup.com/jicj/article/20/5/1155/6957064,academic_oup_com_Using_International_Environmental_Law_to_Enhance_.txt,failed,[BLOCKED_403] https://academic.oup.com/jicj/article/20/5/1155/6957064
1 United Nations Environment Programme UNEP/ ...,https://www.oneplanetnetwork.org/sites/default/files/2022-09/4th%20Draft%20Global%20Strategy%20for%20SCP_CLEAN_DISTRIB.pdf,www_oneplanetnetwork_org_1_United_Nations_Environment_Programme_UNEP_.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/sites/default/files/2022-09/4th%20Draft%20Global%20Strategy%20for%20SCP_CLEAN_DISTRIB.pdf
Forest landscape restoration pathways to achieving the ...,https://unece.org/fileadmin/DAM/timber/meetings/2019/20191216/Forest_landscape_restoration_pathways_to_achieving_the_SDGs.pdf,unece_org_Forest_landscape_restoration_pathways_to_achieving.txt,failed,[BLOCKED_403] https://unece.org/fileadmin/DAM/timber/meetings/2019/20191216/Forest_landscape_restoration_pathways_to_achieving_the_SDGs.pdf
Land Restoration for Achieving the Sustainable ...,https://commonland.com/wp-content/uploads/2020/01/ThinkPieceIRP-1.pdf,commonland_com_Land_Restoration_for_Achieving_the_Sustainable_.txt,failed,[BLOCKED_403] https://commonland.com/wp-content/uploads/2020/01/ThinkPieceIRP-1.pdf
Understanding the value and limits of nature-based solutions ...,https://royalsocietypublishing.org/rstb/article/375/1794/20190120/30543/Understanding-the-value-and-limits-of-nature-based,royalsocietypublishing_org_Understanding_the_value_and_limits_of_nature_based.txt,failed,[BLOCKED_403] https://royalsocietypublishing.org/rstb/article/375/1794/20190120/30543/Understanding-the-value-and-limits-of-nature-based
National Policy Guiding Principles for Forest Landscape ...,https://unece.org/sites/default/files/2023-03/NPGP-general-version2022%20_0.pdf,unece_org_National_Policy_Guiding_Principles_for_Forest_Land.txt,failed,[BLOCKED_403] https://unece.org/sites/default/files/2023-03/NPGP-general-version2022%20_0.pdf
