Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,republic of south sudan - national biodiversity strategy and ...,https://www.cbd.int/doc/world/ss/ss-nbsap-01-en.pdf,The third focus of the strategy and action plan is built on two strategic objectives: to develop and implement a resource mobilisation strategy for biodiversity ...,https://www.cbd.int › doc › world › ss-nbsap-01-en,www_cbd_int_republic_of_south_sudan_national_biodiversity_stra.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,Mainstreaming biodiversity: A review of national strategies,https://pmc.ncbi.nlm.nih.gov/articles/PMC7083249/,This paper investigates the performance of countries at incorporating biodiversity mainstreaming into their post-2010 NBSAPs.,https://pmc.ncbi.nlm.nih.gov › articles › PMC7083249,pmc_ncbi_nlm_nih_gov_Mainstreaming_biodiversity_A_review_of_national_st.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,"📢 #TOMORROW ""Strengthening Non-State Actor ...",https://www.facebook.com/unepwcmc/posts/-tomorrow-strengthening-non-state-actor-commitments-for-biodiversity-in-the-cont/855065961736904/,Restore 30% of degraded land or marine ecosystems by 2030. This framework is an essential step in reversing biodiversity loss and restoring natural ecosystems.,5 reactions,www_facebook_com__TOMORROW_Strengthening_Non_State_Actor_.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,UNEP.pdf,https://www.un.org/Depts/los/general_assembly/contributions_2019/UNEP.pdf,"The strategy outlines the overall strategic direction, operational objectives, approach and priority actions of UNEP to support national, regional and global ...",https://www.un.org › los › contributions_2019,www_un_org_UNEP_pdf.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,Improving collaboration in the implementation of global ...,http://macroecointern.dk/pdf-reprints/von%20Bieberstein_CB_2018.pdf,Eight conventions make up the biodiversity cluster of Multilateral Environmental Agreements. (MEAs) which provide the critical international legal framework ...,http://macroecointern.dk › pdf-reprints,macroecointern_dk_Improving_collaboration_in_the_implementation_of_g.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,Draft National Biodiversity Strategy and Action plan,https://ke.chm-cbd.net/documents/draft-national-biodiversity-strategy-and-action-plan,The NBSAP 2019-2030 is presented as a road map to achieving biodiversity conservation targets in the country while also fulfilling international and regional ...,https://ke.chm-cbd.net › documents › draft-national-bio...,ke_chm-cbd_net_Draft_National_Biodiversity_Strategy_and_Action_pl.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,Using Landscape Approaches in National Biodiversity ...,https://satoyamainitiative.org/wp-content/uploads/2019/06/Using_Landscape_Approaches_in_NBSAPs.pdf,Landscape approaches can be applied indirectly by incorporating landscape approaches principles into biodiversity strategy and planning at the national level.,https://satoyamainitiative.org › uploads › 2019/06,satoyamainitiative_org_Using_Landscape_Approaches_in_National_Biodiversit.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,NATIONAL WILDLIFE STRATEGY 2030,https://ecotourismkenya.org/wp-content/uploads/ekdownloads/press_releases/NWS2030%20-%20FINAL%20JUNE%2012%2C%202018.pdf,"Outlines a framework and set of priority actions for ensuring the coordination, effective implementation and sustainability of wildlife conservation in Kenya.",https://ecotourismkenya.org › press_releases,ecotourismkenya_org_NATIONAL_WILDLIFE_STRATEGY_2030.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,NATIONAL CLIMATE CHANGE ACTION PLAN 2018-2022 ...,https://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/10/8737.pdf,"This plan builds on the first Action Plan (2013-2017) where considerable progress was made, including establishing climate change funds in five Counties, ...",https://www.lse.ac.uk › uploads › 2018/10,www_lse_ac_uk_NATIONAL_CLIMATE_CHANGE_ACTION_PLAN_2018_2022_.txt
Kenya,2018–2022,1,UNEP programme Kenya national biodiversity strategy implemented policy framework law regulation strategy action plan after:2018-01-01 before:2022-01-01,Appendix D,https://www.housingandurban.go.ke/wp-content/uploads/2018/11/Appendix-D-National-Environmental-Policy-2.pdf,"National Biodiversity Strategy and Action Plan. NEC. National Environment ... major threats to biodiversity in Kenya. Page 33. NATIONAL ENVIRONMENT POLICY, 2013.",https://www.housingandurban.go.ke › 2018/11,www_housingandurban_go_ke_Appendix_D.txt
