Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,chemicals_relevant,unep_attributed,attributable_relevant_doc,sd,policy_regulation_score,unep_attribution_score,instrument_type,action_stage,evidence_level,sector,chemicals_justification,unep_justification,evidence_phrases
Brazil,2018-2022,https://academic.oup.com/ieam/article/20/1/9/7725080,2018,2022,2020,Solid waste management in the context of the waste hierarchy ...,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,academic_oup_com_Solid_waste_management_in_the_context_of_the_waste.txt,False,False,False,,0.0,0.0,none,none,global,none,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Brazil during 2018–2022.","There is no explicit link between UNEP and any policy, law, regulation, strategy, action plan, or official framework in Brazil during 2018–2022.","[""No relevant evidence found.""]"
Brazil,2018-2022,https://antigo.mctic.gov.br/mctic/export/sites/institucional/arquivos/SIRENE/Comunicacoes-Nacionais-do-Brasil-a-UNFCCC/2020_12_22_4CN_v5_Ingles.pdf,2018,2022,2020,Fourth National Communication of Brazil to the UNFCCC - MCTI,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,antigo_mctic_gov_br_Fourth_National_Communication_of_Brazil_to_the_UNF.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"No evidence found related to chemicals, waste, circular economy, or pollution policies in Brazil during 2018-2022.",No explicit link to UNEP found in the provided document.,[]
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/g20_mpl_1st_followup_report191029.pdf,2018,2022,2020,G20 Report on Actions against Marine Plastic Litter,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,apps1_unep_org_G20_Report_on_Actions_against_Marine_Plastic_Litte.txt,True,False,False,,80.0,0.0,National Plan to Combat Marine Litter,adopted,national,cross-sectoral,"The document mentions Brazil's National Plan to Combat Marine Litter, launched on March 22, 2019, which aims to achieve environmental recovery and prevention of marine litter.",There is no explicit mention of UNEP's support or involvement in the development or implementation of Brazil's National Plan to Combat Marine Litter.,"[""The National Plan to Combat Marine Litter was launched on March 22, 2019, by the Ministry of the Environment and seeks to achieve two main purposes: Environmental Recovery and Prevention, based on 6 axes of implementation and 30 actions, focused on clear and achievable goals.""]"
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_1_inf_4_unea2_edited.pdf,2018,2022,2020,United Nations Environment Assembly of the ...,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,apps1_unep_org_United_Nations_Environment_Assembly_of_the_.txt,False,False,False,,0.0,0.0,none,none,none,none,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Brazil during 2018-2022.","There is no explicit link between UNEP and the development/adoption/revision/implementation of any policy, law, regulation, strategy, action plan, or official framework in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_inf3_full_assessment_en.pdf,2018,2022,2020,Combating marine plastic litter and microplast,UNEP initiative Brazil plastic pollution policy revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,apps1_unep_org_Combating_marine_plastic_litter_and_microplast.txt,False,False,False,,0.0,0.0,none,none,global,none,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Brazil during 2018-2022.","The document does not explicitly link UNEP to development/adoption/revision/implementation/strengthening of any policy, law, regulation, strategy, action plan, or official framework in Brazil during 2018-2022.","[""This document is a comprehensive assessment of marine plastic litter and microplastics, but it does not specifically focus on Brazil or mention any country-specific policies or actions.""]"
Brazil,2018-2022,https://cefic.org/app/uploads/2019/06/Cefic_Mid-Century-Vision-Molecule-Managers-Brochure.pdf,2018,2022,2020,Molecule Managers,UNEP initiative Brazil plastic pollution policy revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,cefic_org_Molecule_Managers.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://climatepromise.undp.org/sites/default/files/research_report_document/undp-clmate-promise-vanuatu-circular-economy-opportunities.pdf,2018,2022,2020,Circular economy opportunities Vanuatu,UNEP initiative Brazil plastic pollution policy revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,climatepromise_undp_org_Circular_economy_opportunities_Vanuatu.txt,False,False,False,,0.0,0.0,none,none,national,unclear,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Brazil during 2018-2022.","There is no explicit link between UNEP and any policy, law, regulation, strategy, action plan, or official framework in Brazil during 2018-2022.","[""No relevant evidence found""]"
Brazil,2018-2022,https://clmeplus.org/app/uploads/2020/06/10547_MFA_PIF.pdf,2018,2022,2020,Reduce marine plastics and plastic pollution in Latin ...,UNEP initiative Brazil plastic pollution policy revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,clmeplus_org_Reduce_marine_plastics_and_plastic_pollution_in_La.txt,False,False,False,,0.0,0.0,none,none,unclear,none,"No evidence found related to chemicals management, circular economy, waste management, or pollution prevention and control policies/laws/regulations in Brazil during 2018-2022.",No explicit link to UNEP found in relation to SP3.1 outcomes in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://eba.se/app/uploads/2021/05/WP_2021_05_Slunge-Andersson-Wikstr%C3%B6m-Sterner.pdf,2018,2022,2020,Circular Economy,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,eba_se_Circular_Economy.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No UNEP link found,[]
Brazil,2018-2022,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,2018,2022,2020,First Global Report,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,environmentalmigration_iom_int_First_Global_Report.txt,False,False,False,,0.0,0.0,none,none,global,none,"The document does not contain explicit evidence related to circular approaches/circular economy, chemicals management, waste management, pollution prevention/control, or policies/laws/regulations in key sectors for Brazil during 2018-2022.","The document does not explicitly link UNEP to development/adoption/revision/implementation/strengthening of any policy, law, regulation, strategy, action plan, or official framework in Brazil during 2018-2022.","[""The document is a general report on environmental rule of law and does not provide specific information on Brazil or the specified time period.""]"
Brazil,2018-2022,https://espace.library.uq.edu.au/view/UQ:9d77957/UQ9d77957_OA.pdf,2018,2022,2020,Journal Pre-proof - UQ eSpace - The University of Queensland,UNEP initiative Brazil plastic pollution policy revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,espace_library_uq_edu_au_Journal_Pre_proof_UQ_eSpace_The_University_of_Quee.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain any information related to Brazil or the time window 2018-2022, nor does it discuss circular economy, chemicals management, waste management, pollution prevention, or related policies.",There is no mention of UNEP or any link to SP3.1 outcomes.,[]
Brazil,2018-2022,https://eulacfoundation.org/en/system/files/case_studies_circular_economy_eu_lac.pdf,2018,2022,2020,Case studies on Circular Economy models and integration ...,UNEP programme Brazil key sectors pollution prevention launched policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,eulacfoundation_org_Case_studies_on_Circular_Economy_models_and_integr.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://ewastemonitor.info/wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf,2018,2022,2020,The Global E-waste Monitor 2020,UNEP initiative Brazil plastic pollution policy revising policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,ewastemonitor_info_The_Global_E_waste_Monitor_2020.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
