Title,URL,TextFile,Status,Reason
Global Chemicals OutlooK II,https://www.efdinitiative.org/sites/default/files/publications/gcoii_synth.pdf,www_efdinitiative_org_Global_Chemicals_OutlooK_II.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.efdinitiative.org', port=443): Max retries exceeded with url: /sites/default/files/publications/gcoii_synth.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274EFAEE0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
FROM POLLUTION TO SOLUTION,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.gdr-po.cnrs.fr', port=443): Max retries exceeded with url: /docs/UNEP_2021.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274F06FD0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
The Global E-waste Monitor 2020,https://ewastemonitor.info/wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf,ewastemonitor_info_The_Global_E_waste_Monitor_2020.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='ewastemonitor.info', port=443): Max retries exceeded with url: /wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274F177F0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
DEVELOPING EFFECTIVE AFRICAN POLICY RESPONSES,https://saiia.org.za/wp-content/uploads/2018/06/Policy-Insights-59.pdf,saiia_org_za_DEVELOPING_EFFECTIVE_AFRICAN_POLICY_RESPONSES.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='saiia.org.za', port=443): Max retries exceeded with url: /wp-content/uploads/2018/06/Policy-Insights-59.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274F1F220>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
20 Years of Government Responses to the Global Plastic ...,https://nicholasinstitute.duke.edu/sites/default/files/publications/20-Years-of-Government-Responses-to-the-Global-Plastic-Pollution-Problem_final_reduced.pdf,nicholasinstitute_duke_edu_20_Years_of_Government_Responses_to_the_Global_Pla.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='nicholasinstitute.duke.edu', port=443): Max retries exceeded with url: /sites/default/files/publications/20-Years-of-Government-Responses-to-the-Global-Plastic-Pollution-Problem_final_reduced.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274F330D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or est"
Addressing single-use plastic products pollution,https://www.lifecycleinitiative.org/wp-content/uploads/2021/02/Addressing-SUP-Products-using-LCA_UNEP-2021_FINAL-Report-sml.pdf,www_lifecycleinitiative_org_Addressing_single_use_plastic_products_pollution.txt,failed,[BLOCKED_403] https://www.lifecycleinitiative.org/wp-content/uploads/2021/02/Addressing-SUP-Products-using-LCA_UNEP-2021_FINAL-Report-sml.pdf
Businesses,https://www.unep.org/beatpollution/businesses,www_unep_org_Businesses.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.unep.org', port=443): Max retries exceeded with url: /beatpollution/businesses (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274EDF160>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
The Circular Economy and Impact Assessment,https://iaia.org/wp-content/uploads/2025/03/The-Circular-Economy-and-Impact-Assessment-a-Primer.pdf,iaia_org_The_Circular_Economy_and_Impact_Assessment.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='iaia.org', port=443): Max retries exceeded with url: /wp-content/uploads/2025/03/The-Circular-Economy-and-Impact-Assessment-a-Primer.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E276345100>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has faile"
Safeguarding-the-Environment-through-Effective-Pollution- ...,http://kmco.co.ke/wp-content/uploads/2019/09/Safeguarding-the-Environment-through-Effective-Pollution-Control-in-Kenya-Kariuki-Muigua-28th-SEPT-2019.pdf,kmco_co_ke_Safeguarding_the_Environment_through_Effective_Pol.txt,failed,"[FETCH ERROR] HTTPConnectionPool(host='kmco.co.ke', port=80): Max retries exceeded with url: /wp-content/uploads/2019/09/Safeguarding-the-Environment-through-Effective-Pollution-Control-in-Kenya-Kariuki-Muigua-28th-SEPT-2019.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002E27643B460>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established"
INTERNATIONAL GUIDELINES FOR INDUSTRIAL PARKS,https://www.unido.org/sites/default/files/files/2019-11/International_Guidelines_for_Industrial_Parks.pdf,www_unido_org_INTERNATIONAL_GUIDELINES_FOR_INDUSTRIAL_PARKS.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.unido.org', port=443): Max retries exceeded with url: /sites/default/files/files/2019-11/International_Guidelines_for_Industrial_Parks.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274F0DFA0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has"
Rethinking Single-Use Plastic Products in Travel & Tourism,https://www.oneplanetnetwork.org/sites/default/files/from-crm/rethinking_single-use_plastic_products_in_travel_tourism_-_unep_wttc.pdf,www_oneplanetnetwork_org_Rethinking_Single_Use_Plastic_Products_in_Travel_T.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.oneplanetnetwork.org', port=443): Max retries exceeded with url: /sites/default/files/from-crm/rethinking_single-use_plastic_products_in_travel_tourism_-_unep_wttc.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E274F44C70>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection fail"
UN Environment Global Chemicals Outlook II,https://orbit.dtu.dk/files/170843838/GCOII_synth.pdf,orbit_dtu_dk_UN_Environment_Global_Chemicals_Outlook_II.txt,failed,[BLOCKED_403] https://orbit.dtu.dk/files/170843838/GCOII_synth.pdf
An Inclusive Circular Economy,https://www.chathamhouse.org/sites/default/files/publications/research/2019-05-22-Circular%20Economy.pdf,www_chathamhouse_org_An_Inclusive_Circular_Economy.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.chathamhouse.org', port=443): Max retries exceeded with url: /sites/default/files/publications/research/2019-05-22-Circular%20Economy.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E276434CA0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has "
Circular Economy,https://eba.se/app/uploads/2021/05/WP_2021_05_Slunge-Andersson-Wikstr%C3%B6m-Sterner.pdf,eba_se_Circular_Economy.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='eba.se', port=443): Max retries exceeded with url: /app/uploads/2021/05/WP_2021_05_Slunge-Andersson-Wikstr%C3%B6m-Sterner.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E276454D60>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respon"
Best Practices for Solid Waste Management,https://www.iges.or.jp/en/publication_documents/pub/policyreport/en/11066/Best+Practices+for+SWM_Guide+for+Decision+Makers+in+Developing+Countries_Oct+20_0.pdf,www_iges_or_jp_Best_Practices_for_Solid_Waste_Management.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.iges.or.jp', port=443): Max retries exceeded with url: /en/publication_documents/pub/policyreport/en/11066/Best+Practices+for+SWM_Guide+for+Decision+Makers+in+Developing+Countries_Oct+20_0.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E27B6FB340>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or es"
MINISTRY OF ENVIRONMENT AND FORESTRY ...,https://repository.kippra.or.ke/bitstreams/79d9dca9-172f-4bdc-9661-6037c8e57f84/download,repository_kippra_or_ke_MINISTRY_OF_ENVIRONMENT_AND_FORESTRY_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='repository.kippra.or.ke', port=443): Max retries exceeded with url: /bitstreams/79d9dca9-172f-4bdc-9661-6037c8e57f84/download (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E27AACA610>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respon"
Sustainable Development Goal 6 Synthesis Report on ...,https://www.unwater.org/sites/default/files/app/uploads/2018/12/SDG6_SynthesisReport2018_WaterandSanitation_04122018.pdf,www_unwater_org_Sustainable_Development_Goal_6_Synthesis_Report_on.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.unwater.org', port=443): Max retries exceeded with url: /sites/default/files/app/uploads/2018/12/SDG6_SynthesisReport2018_WaterandSanitation_04122018.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E27ACAA7F0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because con"
