Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,UN Environment Global Chemicals Outlook II,https://orbit.dtu.dk/files/170843838/GCOII_synth.pdf,"It covered trends and indicators for chemical production, transport, use and disposal, and associated health and environmental impacts; economic implications of ...",https://orbit.dtu.dk › files › GCOII_synth,orbit_dtu_dk_UN_Environment_Global_Chemicals_Outlook_II.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,National Sustainable Waste Management Policy,https://ke.chm-cbd.net/sites/ke/files/2023-09/SWM_Policy_2021_final_copy.pdf,opportunity.A Nationally Appropriate Mitigation Action (NAMA 2016) proposal for a Circular Economy Solid Waste Management Approach for Urban Areas in Kenya.,https://ke.chm-cbd.net › sites › files › SWM_Poli...,ke_chm-cbd_net_National_Sustainable_Waste_Management_Policy.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,Demystifying Finance for Circular Economies,https://www.unepfi.org/wordpress/wp-content/uploads/2021/03/UNEPFI_DemystfyingFinanceCircularity-2020-2.pdf,This report offers emerging evidence of the potential to scale up finance to accelerate the shift away from a take-make-waste model of resource use and ...,https://www.unepfi.org › uploads › 2021/03 › U...,www_unepfi_org_Demystifying_Finance_for_Circular_Economies.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,Businesses,https://www.unep.org/beatpollution/businesses,"By promoting high quality recycling we will work to sustainably guarantee ""the environmentally sound management of chemicals and all wastes throughout their ...",https://www.unep.org › beatpollution › businesses,www_unep_org_Businesses.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,Zambia Environmental Management Agency,https://www.facebook.com/zemazambia/posts/zema-welcomes-uns-urgent-call-to-action-against-chemical-pollution-chemicals-pla/1024522757758176/,ZEMA WELCOMES UN's URGENT CALL TO ACTION AGAINST CHEMICAL POLLUTION Chemicals play an important role in our daily lives as they are used in every...,20+ reactions,www_facebook_com_Zambia_Environmental_Management_Agency.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,Kenya National Sustainable Waste Management Policy 2021,https://plasticsdb.surrey.ac.uk/documents/kenya/Kenya%20National%20Sustainable%20Waste%20Management%20Policy%202021.pdf,The policy development process adopted a circular economy approach whereby waste ... and to develop “Five County-based waste management plans and regulations.,https://plasticsdb.surrey.ac.uk › documents › Keny...,plasticsdb_surrey_ac_uk_Kenya_National_Sustainable_Waste_Management_Policy.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,All around the world: Assessing optimality in comparative ...,https://www.sciencedirect.com/science/article/pii/S0959652620355396,This paper sets out to survey current waste management policy to identify the degree to which circular economy practices are being translated into public ...,https://www.sciencedirect.com › science › article › pii,www_sciencedirect_com_All_around_the_world_Assessing_optimality_in_compa.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,"Reducing uses and releases of chemicals of concern, ...",https://www.thegef.org/sites/default/files/web-documents/10523_CW_PIF.pdf,These hazardous chemicals include new industrial POPs and uPOPs; and Chemicals of Concern identified as an. Emerging Policy Issue (EPI) under the Strategic ...,https://www.thegef.org › files › 10523_CW_PIF,www_thegef_org_Reducing_uses_and_releases_of_chemicals_of_concern.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,Global Chemicals OutlooK II,https://www.efdinitiative.org/sites/default/files/publications/gcoii_synth.pdf,"Enable and strengthen the chemicals and waste management aspects of corporate sustainability policies, sustainable business models, and reporting. Bring ...",https://www.efdinitiative.org › files › gcoii_synth,www_efdinitiative_org_Global_Chemicals_OutlooK_II.txt
Kenya,2018–2022,1,UNEP project Kenya chemicals and waste management policy developing policy law regulation strategy action plan circular economy chemicals waste pollution prevention control after:2018-01-01 before:2022-01-01,FROM POLLUTION TO SOLUTION,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,United Nations Environment Programme (2021). From Pollution to. Solution. A global assessment of marine litter and plastic pollution Nairobi. Production. United ...,https://www.gdr-po.cnrs.fr › docs › UNEP_2021,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt
