Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,SP5_1_Ci_t_UNEP,extent_of_unep_attributed_sp1_2_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_sp1_2_law_strengthening,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_support_type,best_evidence_action_stage,best_evidence_level,best_evidence_law_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2018-2022,2018,2022,2020,55,0,0,no evidence,0,0,False,Green Development Guidance for BRI Projects Baseline ...,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,none,none,unclear,No relevant information found,No relevant information found,[]
Brazil,2022-2026,2022,2026,2024,54,0,0,no evidence,0,0,False,Environmental Public Policy - Oxford Academic,https://academic.oup.com/edited-volume/61750/chapter/542838456,UNEP initiative Brazil water resources law revised environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2022-01-01 before:2026-01-01,academic_oup_com_Environmental_Public_Policy_Oxford_Academic.txt,none,none,unclear,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks for Brazil in 2022-2026.",There is no explicit link between UNEP and any environmental law or policy initiative in Brazil for the specified time period.,[]
Ghana,2018-2022,2018,2022,2020,68,0,0,no evidence,0,0,False,Understanding-and-Increasing-Finance-for- ...,http://climatepolicyinitiative.org/wp-content/uploads/2018/12/Understanding-and-Increasing-Finance-for-Climate-Adaptation-in-Developing-Countries-1.pdf,supported by UNEP Ghana MEA implementation law implementing environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,climatepolicyinitiative_org_Understanding_and_Increasing_Finance_for_.txt,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Ghana during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Ghana during 2018-2022.,"[""The document discusses climate adaptation finance and policies in developing countries, but does not specifically mention Ghana or provide evidence of new environmental laws or policies.""]"
Ghana,2022-2026,2022,2026,2024,64,0,0,no evidence,0,0,False,Technical Proposal,https://acecor.ucc.edu.gh/sites/default/files/2022-12/ACE1_Ghana_ACECOR_ESMP_5.pdf,United Nations Environment Programme supported Ghana EIA law developing environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2022-01-01 before:2026-01-01,acecor_ucc_edu_gh_Technical_Proposal.txt,none,none,national,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks; institutional support initiatives for environmental law or governance; strengthening environmental rule of law, compliance, enforcement, access to justice, or MEA implementation; or contribution to internationally agreed environmental objectives.",There is no explicit link between UNEP and the environmental law or institutional support initiative in Ghana during 2022-2026.,"[""No relevant evidence found.""]"
Kenya,2018-2022,2018,2022,2020,56,0,0,no evidence,0,0,False,Green Development Guidance for BRI Projects Baseline ...,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,none,none,unclear,"Document could not be retrieved, hence no evidence available.","Document could not be retrieved, hence no evidence available.",[]
Kenya,2022-2026,2022,2026,2024,65,0,0,no evidence,0,0,False,BTI 2026 Uganda Country Report,https://bti-project.org/en/reports/country-report/UGA,United Nations Environment Programme supported Kenya environmental prosecutor developed environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2022-01-01 before:2026-01-01,bti-project_org_BTI_2026_Uganda_Country_Report.txt,none,none,unclear,,,[]
Lebanon,2018-2022,2018,2022,2020,54,0,0,no evidence,0,0,False,Understanding-and-Increasing-Finance-for- ...,http://climatepolicyinitiative.org/wp-content/uploads/2018/12/Understanding-and-Increasing-Finance-for-Climate-Adaptation-in-Developing-Countries-1.pdf,in partnership with UNEP Lebanon protected areas law established environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,climatepolicyinitiative_org_Understanding_and_Increasing_Finance_for_.txt,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Lebanon during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Lebanon during 2018-2022.,"[""No relevant evidence found""]"
Lebanon,2022-2026,2022,2026,2024,60,0,0,no evidence,0,0,False,Re-evaluating international humanitarian law in a triple ...,http://international-review.icrc.org/articles/re-evaluating-ihl-in-a-triple-planetary-crisis-924,in partnership with UNEP Lebanon environmental objectives policy law regulation revising environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2022-01-01 before:2026-01-01,international-review_icrc_org_Re_evaluating_international_humanitarian_law_in_a_.txt,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Lebanon during 2022-2026.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Lebanon during 2022-2026.,"[""The document discusses the evolution of environmental values and legal developments in international environmental law, human rights law, and international humanitarian law, but does not provide specific information about Lebanon or the time window 2022-2026.""]"
Rwanda,2018-2022,2018,2022,2020,53,0,0,no evidence,0,0,False,Understanding-and-Increasing-Finance-for- ...,http://climatepolicyinitiative.org/wp-content/uploads/2018/12/Understanding-and-Increasing-Finance-for-Climate-Adaptation-in-Developing-Countries-1.pdf,UNEP provided technical assistance Rwanda environmental objectives policy law regulation technical assistance environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,climatepolicyinitiative_org_Understanding_and_Increasing_Finance_for_.txt,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Rwanda during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Rwanda during 2018-2022.,"[""The document does not provide any relevant information for Rwanda or the specified time period.""]"
Rwanda,2022-2026,2022,2026,2024,46,0,0,no evidence,0,0,False,ARIZONA JOURNAL OF ENVIRONMENTAL LAW & POLICY,https://ajelp.com/s/Stephens_final_formatted_1-33-1.pdf,in collaboration with UNEP Rwanda environmental institutional framework revised environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2022-01-01 before:2026-01-01,ajelp_com_ARIZONA_JOURNAL_OF_ENVIRONMENTAL_LAW_POLICY.txt,none,none,unclear,,,[]
