Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,law_relevant,unep_attributed,attributable_relevant_doc,sd,env_law_score,unep_attribution_score,support_type,action_stage,evidence_level,law_justification,unep_justification,evidence_phrases
Brazil,2018-2022,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,2018,2022,2020,Green Development Guidance for BRI Projects Baseline ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,False,False,False,,0.0,0.0,none,none,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://aida-americas.org/en/blog/international-environmental-law-history-and-milestones,2018,2022,2020,International Environmental Law: History and milestones,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,aida-americas_org_International_Environmental_Law_History_and_milest.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_1_inf_4_unea2_edited.pdf,2018,2022,2020,United Nations Environment Assembly of the ...,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,apps1_unep_org_United_Nations_Environment_Assembly_of_the_.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to strengthening/enabling/developing/adopting/revising/implementing any environmental law or policy in Brazil during 2018-2022.,"[""No relevant evidence found""]"
Brazil,2018-2022,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_inf3_full_assessment_en.pdf,2018,2022,2020,Combating marine plastic litter and microplast,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,apps1_unep_org_Combating_marine_plastic_litter_and_microplast.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to strengthening environmental law or governance in Brazil during 2018-2022.,"[""No relevant evidence found""]"
Brazil,2018-2022,https://e360.yale.edu/digest/brazil-has-weakened-dozens-of-environmental-laws-during-the-pandemic,2018,2022,2020,Brazil Has Weakened Dozens of Environmental Laws ...,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,e360_yale_edu_Brazil_Has_Weakened_Dozens_of_Environmental_Laws_.txt,True,False,False,,40.0,0.0,law / regulation,weakened,national,"The document reports that Brazil approved 57 pieces of legislation that weaken environmental laws since President Jair Bolsonaro took office in January 2019, with 27 bills passed during the Covid-19 pandemic. This indicates a weakening of environmental protection.",There is no mention of UNEP in the document.,"[""Brazil has approved 57 pieces of legislation that weaken environmental laws"", ""27 bills were passed during the height of Brazil’s Covid-19 pandemic""]"
Brazil,2018-2022,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,2018,2022,2020,First Global Report,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,environmentalmigration_iom_int_First_Global_Report.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to Brazil in 2018-2022 about new or strengthened environmental policies, laws, regulations, or legal frameworks; institutional support initiatives for environmental law or governance; or strengthening environmental rule of law, compliance, enforcement, access to justice, or MEA implementation.","The document does not explicitly link UNEP to strengthening/enabling/developing/adopting/revising/implementing any policy, law, legal framework, or institutional support initiative in Brazil during 2018-2022.","[""The document is a general report on environmental rule of law and does not provide specific information about Brazil or the time period 2018-2022.""]"
Brazil,2018-2022,https://ewastemonitor.info/wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf,2018,2022,2020,The Global E-waste Monitor 2020,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,ewastemonitor_info_The_Global_E_waste_Monitor_2020.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://forestdeclaration.org/wp-content/uploads/2021/10/2021NYDFReport.pdf,2018,2022,2020,Taking stock of national climate action for forests,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,forestdeclaration_org_Taking_stock_of_national_climate_action_for_forest.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,"[""No relevant evidence found.""]"
Brazil,2018-2022,https://gefcrew.org/carrcu/19IGM/LBSCOP5/Info-Docs/WG.41.INF.22Rev.1-en.pdf,2018,2022,2020,Fifth Meeting of the Scientific and Technical Advisory ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,gefcrew_org_Fifth_Meeting_of_the_Scientific_and_Technical_Advi.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to strengthening/enabling/developing/adopting/revising/implementing any environmental law or policy in Brazil during 2018-2022.,"[""The document is about the Cartagena Convention and the Caribbean Environment Programme, not about Brazil or its environmental laws.""]"
Brazil,2018-2022,https://iucn.org/sites/default/files/content/documents/2020/unep_2021_global_report_on_environmental_rule_of_law_concept_note_-_for_distribution.pdf,2018,2022,2020,UNEP 2021 Global Report on Environmental Rule of Law,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,iucn_org_UNEP_2021_Global_Report_on_Environmental_Rule_of_L.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to any specific environmental law or institutional support initiative in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://library.sprep.org/sites/default/files/2021-03/international-environmental-law.pdf,2018,2022,2020,International Environmental Law,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,library_sprep_org_International_Environmental_Law.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8455228/,2018,2022,2020,Resilience of environmental policy amidst the rise ... - PMC - NIH,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,pmc_ncbi_nlm_nih_gov_Resilience_of_environmental_policy_amidst_the_rise.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or policy initiative in Brazil during 2018-2022.,"[""The document discusses the vulnerability of environmental protection structures to conservative populist movements in the US and Brazil, but does not provide specific evidence of new or strengthened environmental laws, policies, or institutional support initiatives in Brazil during 2018-2022.""]"
Brazil,2018-2022,https://repository.uclawsf.edu/context/hastings_law_journal/article/3846/viewcontent/6___HLJ70.2_Yang_1.pdf,2018,2022,2020,The Emergence of the Environmental Impact Assessment ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,repository_uclawsf_edu_The_Emergence_of_the_Environmental_Impact_Assessme.txt,False,False,False,,0.0,0.0,none,none,unclear,Document not available for analysis,Document not available for analysis,[]
Brazil,2018-2022,https://sdgs.un.org/sites/default/files/2021-04/Publication%20-%20Making%20Peace%20with%20Nature%20A%20scientific%20blueprint%20to%20tackle%20the%20climate%2C%20biodiversity%20and%20pollution%20emergencies.pdf,2018,2022,2020,Making Peace with Nature,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,sdgs_un_org_Making_Peace_with_Nature.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to strengthening or enabling environmental law in Brazil during 2018-2022.,"[""No relevant evidence found.""]"
Brazil,2018-2022,https://stakeholderforum.org/wp-content/uploads/2021/12/UNEP-Asia-Pacific-Region-CB-Webninar-Presentation-2-Dec-2021-Website.pdf,2018,2022,2020,Module 1: A recap - The structure of UNEP and UNEA,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,stakeholderforum_org_Module_1_A_recap_The_structure_of_UNEP_and_UNEA.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
