Title,URL,TextFile,Status,Reason
Kenya,https://climateactiontracker.org/countries/kenya/2021-09-15/policies-action/,climateactiontracker_org_Kenya.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='climateactiontracker.org', port=443): Max retries exceeded with url: /countries/kenya/2021-09-15/policies-action/ (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21C0843D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Human right to a healthy environment for a thriving Earth,https://swed.bio/wp-content/uploads/2019/06/FinalHandbookHumanRightsBiodiversityCILMSeds2019.pdf,swed_bio_Human_right_to_a_healthy_environment_for_a_thrivin.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='swed.bio', port=443): Max retries exceeded with url: /wp-content/uploads/2019/06/FinalHandbookHumanRightsBiodiversityCILMSeds2019.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21C0A64C0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed t"
NATIONAL CLIMATE CHANGE ACTION PLAN 2018-2022 ...,https://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/10/8737.pdf,www_lse_ac_uk_NATIONAL_CLIMATE_CHANGE_ACTION_PLAN_2018_2022_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.lse.ac.uk', port=443): Max retries exceeded with url: /GranthamInstitute/wp-content/uploads/2018/10/8737.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21C072850>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Governance for Ecosystem-based Adaptation,https://www.adaptationcommunity.net/wp-content/uploads/2019/09/giz2019-en-eba-governance-study-low-res.pdf,www_adaptationcommunity_net_Governance_for_Ecosystem_based_Adaptation.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.adaptationcommunity.net', port=443): Max retries exceeded with url: /wp-content/uploads/2019/09/giz2019-en-eba-governance-study-low-res.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21C0A5CA0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host ha"
Methodological Sheets for,https://www.lifecycleinitiative.org/wp-content/uploads/2021/12/Methodological-Sheets_2021_final.pdf,www_lifecycleinitiative_org_Methodological_Sheets_for.txt,failed,[BLOCKED_403] https://www.lifecycleinitiative.org/wp-content/uploads/2021/12/Methodological-Sheets_2021_final.pdf
Assessing progress in forest law enforcement and ...,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/Assessing_progress_in_forest_law_enforcement_and_governance_in_Africa.pdf,www_afdb_org_Assessing_progress_in_forest_law_enforcement_and_.txt,failed,[BLOCKED_403] https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/Assessing_progress_in_forest_law_enforcement_and_governance_in_Africa.pdf
The Emergence of the Environmental Impact Assessment ...,https://repository.uclawsf.edu/context/hastings_law_journal/article/3846/viewcontent/6___HLJ70.2_Yang_1.pdf,repository_uclawsf_edu_The_Emergence_of_the_Environmental_Impact_Assessme.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='repository.uclawsf.edu', port=443): Max retries exceeded with url: /context/hastings_law_journal/article/3846/viewcontent/6___HLJ70.2_Yang_1.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21C076100>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host h"
International Environmental Law,https://library.sprep.org/sites/default/files/2021-03/international-environmental-law.pdf,library_sprep_org_International_Environmental_Law.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='library.sprep.org', port=443): Max retries exceeded with url: /sites/default/files/2021-03/international-environmental-law.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2066D4430>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respo"
MINERAL RESOURCE GOVERNANCE IN EAST AFRICA,https://afrodad.org/sites/default/files/publications/Mineral-Resource-Governance-in-East-Africa.pdf,afrodad_org_MINERAL_RESOURCE_GOVERNANCE_IN_EAST_AFRICA.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='afrodad.org', port=443): Max retries exceeded with url: /sites/default/files/publications/Mineral-Resource-Governance-in-East-Africa.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E229134400>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has faile"
Green Development Guidance for BRI Projects Baseline ...,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,failed,"[FETCH ERROR] HTTPConnectionPool(host='en.brigc.net', port=80): Max retries exceeded with url: /Reports/Report_Download/2020/202012/P020210202120471013629.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002E2291020D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
