Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile,law_relevant,unep_attributed,env_law_score,unep_attribution_score,support_type,action_stage,evidence_level,law_justification,unep_justification,evidence_phrases
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,"Cleaning the air, protecting the climate: Policy, legal and ...",https://www.sciencedirect.com/science/article/pii/S1462901118309468,"... support, capacity building, and international activities. China's ... policy areas, meaning that it is necessary to put specific arrangements in place.",https://www.sciencedirect.com › science › article › pii,www_sciencedirect_com_Cleaning_the_air_protecting_the_climate_Policy_leg.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,Kenya,https://climateactiontracker.org/countries/kenya/2021-09-15/policies-action/,The second and most recent NCCAP covers the period between 2018-2022 and its main objective is to guide climate action during that time and support the ...,https://climateactiontracker.org › kenya › policies-action,climateactiontracker_org_Kenya.txt,False,False,0,0,none,none,unclear,No relevant information found about Kenya's environmental law or institutional support initiatives from 2018-2022.,No explicit link to UNEP found in relation to environmental law or institutional support initiatives for Kenya from 2018-2022.,[]
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,The National Environmental Policy 2018 has six priority ...,https://www.facebook.com/emauthority/posts/the-national-environmental-policy-2018-has-six-priority-areas-of-equal-importanc/10159881311029885/,"Through the NEA Initiative, we: ✓ Build capacity to bridge the ... policies, Multilateral Environmental Agreements (MEA), and International Treaties.",https://www.facebook.com › emauthority › posts › the-...,www_facebook_com_The_National_Environmental_Policy_2018_has_six_pri.txt,True,False,80,0,policy,developed,national,"The document mentions the National Environmental Policy 2018, which indicates that Kenya has developed a new environmental policy within the specified time frame (2018-2022).",There is no explicit link between UNEP and the development or implementation of the National Environmental Policy 2018.,"[""The National Environmental Policy 2018""]"
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,Environmental Institutions,https://www.wfd.org/sites/default/files/2022-02/WFD_June2020_Wilson_EnvironmentalDemocracy_EnvironmentalInstitutions.pdf,"comply, and institutional capacity to undertake enforcement is developed. But it is clear that in the nature of environmental laws, resources also mean the ...",https://www.wfd.org › sites › default › files › W...,www_wfd_org_Environmental_Institutions.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya during 2018-2022 about new or strengthened environmental policies, laws, regulations, or legal frameworks; institutional support initiatives for environmental law or governance; strengthening environmental rule of law, compliance, enforcement, access to justice, or MEA implementation; or contribution to internationally agreed environmental objectives.","There is no explicit link between UNEP and any environmental law, legal instrument, regulation, law, legal framework, or institutional support initiative in Kenya during 2018-2022.","[""The document is a general report on environmental institutions, laws, and governance, but does not specifically mention Kenya or any specific actions taken in Kenya during 2018-2022.""]"
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,The Landscape of Climate Finance in Kenya,https://www.climatepolicyinitiative.org/wp-content/uploads/2021/03/The-Landscape-of-Climate-Finance-in-Kenya.pdf,"However, the recent Forest. Reference Level (MOEF, 2019) showed that Kenya has a lower forest cover than previously estimated meaning more action is required in ...",https://www.climatepolicyinitiative.org › 2021/03,www_climatepolicyinitiative_org_The_Landscape_of_Climate_Finance_in_Kenya.txt,True,False,40,0,policy / law / regulation / legal framework / institutional support initiative / compliance and enforcement / access to justice / judicial or prosecutorial capacity / MEA implementation,developed,national,"The document discusses Kenya's climate change policies, laws, and regulations, including the National Climate Change Response Strategy, the National Climate Change Framework Policy, the National Policy on Climate Finance, the Green Economy Strategy and Implementation Plan, and the Climate Change Act, 2016. It also mentions the country's efforts to mainstream climate change considerations into its plans, policies, strategies, projects, and programs.","There is no explicit mention of UNEP's support or involvement in the development of Kenya's climate change policies, laws, or regulations.","[""Kenya's Financing Strategy for the NDC"", ""National Climate Change Action Plan"", ""Climate Change Act, 2016"", ""Green Economy Strategy and Implementation Plan""]"
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,First Global Report,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,"Environmental rule of law is also a barometer for the health of government institutions ... meaning that regulation of a mine, for example, may involve the.",https://environmentalmigration.iom.int › files › e...,environmentalmigration_iom_int_First_Global_Report.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya in 2018-2022 about new or strengthened environmental policies, laws, regulations, or legal frameworks; institutional support initiatives for environmental law or governance; or strengthening environmental rule of law, compliance, enforcement, access to justice, or MEA implementation.","The document does not explicitly link UNEP to strengthening/enabling/developing/adopting/revising/implementing any environmental law, legal framework, or institutional support initiative in Kenya during 2018-2022.","[""The document is a global report on environmental rule of law and does not specifically mention Kenya or provide evidence of new policies or institutional support initiatives for environmental law in Kenya during 2018-2022.""]"
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,The Emergence of the Environmental Impact Assessment ...,https://repository.uclawsf.edu/context/hastings_law_journal/article/3846/viewcontent/6___HLJ70.2_Yang_1.pdf,this field have been the environmental governance capacity-building and law ... text or meaning appeared to be ambiguous and when primary sources were only.,https://repository.uclawsf.edu › article › viewcontent,repository_uclawsf_edu_The_Emergence_of_the_Environmental_Impact_Assessme.txt,False,False,0,0,none,none,unclear,No relevant information found,No relevant information found,[]
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,A/73/419* General Assembly,https://digitallibrary.un.org/record/1655544/files/A_73_419-EN.pdf,"Gaps relating to the governance structure of international environmental law ... “governance gaps” are understood to mean, respectively, substantive/normative.",https://digitallibrary.un.org › files › A_73_419-EN,digitallibrary_un_org_A_73_419_General_Assembly.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,A/73/419* General Assembly,https://digitallibrary.un.org/record/1655544/files/A_73_419-EN.pdf,"Gaps relating to the governance structure of international environmental law ... “governance gaps” are understood to mean, respectively, substantive/normative.",https://digitallibrary.un.org › files › A_73_419-EN,digitallibrary_un_org_A_73_419_General_Assembly.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,National Climate Change Action Plan 2018-2022,https://napglobalnetwork.org/wp-content/uploads/2022/01/napgn-en-2022-kenya-NCCAP-2018-2022-Implemantation-Status-Report.pdf,Note: No. of beneficiaries increases because the of expanded scope of programmes meaning more Kenyans are eligible for support. Note: Average household size in ...,https://napglobalnetwork.org › uploads › 2022/01,napglobalnetwork_org_National_Climate_Change_Action_Plan_2018_2022.txt,True,False,80,0,institutional support initiative,implemented,national,"The document provides evidence of Kenya's efforts to implement its National Climate Change Action Plan (NCCAP) 2018-2022, which includes various initiatives related to climate change adaptation and mitigation. The report highlights progress made in several areas, including disaster risk management, food and nutrition security, water and the blue economy, forestry, wildlife and tourism, health, sanitation and human settlements, manufacturing, and energy and transport. The document also mentions the development of policies and regulations to support climate change actions.",There is no explicit mention of UNEP's involvement or support in the implementation of the NCCAP or other climate change initiatives in Kenya.,"[""The National Climate Change Action Plan (NCCAP) 2018-2022 sets out the path towards low carbon climate resilient development"", ""The report highlights key achievements made across the seven NCCAP strategic objectives"", ""The preparation of the report was coordinated by the CCD of the Ministry of Environment and Forestry (MEF), with the support of the NAP Global Network, International Institute for Sustainable Development (IISD)""]"
Kenya,2018–2022,1,UNEP capacity building Kenya environmental governance policy enacted environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,"Making trade work for the environment, prosperity and ...",https://www.wto.org/english/res_e/publications_e/unereport2018_e.pdf,"Of this, around one-third (US$ 112 billion) has been allocated to projects with an environmental objective, meaning development projects that target the goals ...",https://www.wto.org › res_e › unereport2018_e,www_wto_org_Making_trade_work_for_the_environment_prosperity_a.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Kenya during 2018-2022.",The document does not explicitly link UNEP to strengthening/enabling/developing/adopting/revising/implementing any environmental law or policy in Kenya during 2018-2022.,"[""The document discusses trade and environment issues globally, but does not provide specific information about Kenya's environmental laws or policies.""]"
