Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,SP6_1_Ci_t_UNEP,extent_of_unep_attributed_sp6_1_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_sp6_1_policy_standard_action,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_instrument_type,best_evidence_action_stage,best_evidence_actor_type,best_evidence_level,best_evidence_finance_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2018-2022,2018,2022,2020,65,2,48.0,moderate evidence,64.0,96.0,True,"In campaign against plastic pollution, the world is making ...",https://www.unep.org/news-and-stories/story/campaign-against-plastic-pollution-world-making-tentative-progress,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_unep_org_In_campaign_against_plastic_pollution_the_world_is.txt,Circular economy policy / Extended Producer Responsibility (EPR) instrument,developed / implemented,government / public-sector institution,national,"The document provides evidence of Brazil's involvement in the Global Commitment to the New Plastics Economy, which aims to cultivate a circular economy around plastics. The city of Sao Paolo, Brazil, has used the commitment to produce instruments, especially legal frameworks, on the reduction and non-generation of single-use plastic products.","UNEP has been supporting 20 national, sub-national and municipal governments, including Brazil, to develop policies to limit plastic pollution. The document explicitly mentions UNEP's involvement in the Global Commitment to the New Plastics Economy and its support for governments to develop policies around Extended Producer Responsibility (EPR).","[""In 2018, the United Nations Environment Programme (UNEP) joined forces with the Ellen MacArthur Foundation to tackle what environmental experts call one of the world’s most dangerous addictions: single-use plastics."", ""UNEP has been supporting the 20 national, sub-national and municipal governments that have so far joined the Global Commitment to develop policies to limit plastic pollution."", ""The commitment has been integral at a local level,” says Cristina Helena Fabris Pinheiro, a city official from Sao Paolo, Brazil. It has brought together City Council and City Hall to produce instruments, especially legal frameworks, on the reduction and non-generation of single-use plastic products.""]"
Brazil,2022-2026,2022,2026,2024,61,3,69.33,strong evidence,72.0,208.0,True,Brazil's Ecological Transformation Plan: A Green Transition ...,https://www.financeministersforclimate.org/node/1293,UNEP initiative Brazil sustainability standard published policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2022-01-01 before:2026-01-01,www_financeministersforclimate_org_Brazil_s_Ecological_Transformation_Plan_A_Green_Tr.txt,Green economy policy,developed,government,national,"The document describes Brazil's Ecological Transformation Plan (ETP), which includes a comprehensive strategy for sustainable finance, technological modernization, bioeconomy and agro-food systems, energy transition, circular economy, and green infrastructure and adaptation. The plan aims to decarbonize the economy, improve productivity, and reduce regional and social inequalities.",The document mentions that UNEP's Partnership for Action on Green Economy conducted a study using an input-output model to estimate the impacts of the ETP. This indicates that UNEP was involved in supporting the development of the plan.,"[""Brazil’s Ecological Transformation Plan (ETP) outlines a strategy to align climate objectives with social and economic development, aiming to support the country’s transition toward a low-carbon economy."", ""The ETP is organized around six strategic pillars, each with a specific policy agenda: Sustainable finance, Technological modernization, Bioeconomy and agro-food systems, Energy transition, Circular economy, and Green infrastructure and adaptation."", ""Two studies — one conducted with the World Bank using a dynamic stochastic model and another led by UNEP’s Partnership for Action on Green Economy using an input-output model — estimate that full implementation of the ETP could: Increase Brazil’s potential GDP by up to 1 percentage point by 2050, Create 2.3 million new jobs, Boost per capita income and investment, Reduce inequality, All while meeting the net-zero emissions target.""]"
Ghana,2018-2022,2018,2022,2020,45,1,64.8,strong evidence,64.8,64.8,True,Integrated Waste Management in Africa,https://www.switchtogreen.eu/wp-content/uploads/2021/02/Integrated-Waste-Management-in-Africa-Focus-on-Circularity-.pdf,UNEP assisted Ghana eco-label standard updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_switchtogreen_eu_Integrated_Waste_Management_in_Africa.txt,SCP policy / circular economy policy / green economy policy / sustainable public procurement / resource efficiency standard / life-cycle standard / product sustainability standard / EPR instrument / sustainable finance standard / private-sector standard,implemented / operationalized / applied,government / public-sector institution / private-sector institution / financial institution / industry association / mixed,national,"The document provides explicit evidence of the SWITCH Africa Green programme supporting MSMEs in Ghana to adopt SCP practices and circular economy approaches. The programme resulted in improved staff capacity, business skills, and new business opportunities, as well as increased sales, employment, and environmental benefits.","The document explicitly links UNEP to the development and implementation of the SWITCH Africa Green programme, which supported MSMEs in Ghana to adopt SCP practices and circular economy approaches. UNEP provided financial support, technical assistance, and capacity building to the programme.","[""The SWITCH Africa Green programme is funded by the EU to support governments and the private sector in African countries (Burkina Faso, Ghana, Kenya, Mauritius, South Africa, and Uganda) in the transition to an inclusive green economy (IGE)."", ""The programme is implemented by the UNEP in collaboration with the UNDP and UNOPS."", ""The SWITCH Africa Green programme supported MSMEs in Ghana to adopt SCP practices and circular economy approaches, resulting in improved staff capacity, business skills, and new business opportunities, as well as increased sales, employment, and environmental benefits."", ""The project on promoting biogas technologies in Ghana was implemented in the Greater Accra Metropolitan Area (GAMA) in Ghana."", ""The e-waste management GEMOD project in Ghana contributed to the recycling of 20,000 tonnes of e-waste with the emerging economic activity benefiting directly and indirectly about 2,100 Ghanaians living in Accra.""]"
Ghana,2022-2026,2022,2026,2024,65,2,64.0,strong evidence,64.0,128.0,True,2023 PAGE Annual Report - UN PAGE,https://www.un-page.org/2023-annual-report/,UNEP provided technical assistance Ghana circular economy policy revised policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2022-01-01 before:2026-01-01,www_un-page_org_2023_PAGE_Annual_Report_UN_PAGE.txt,green economy policy,developed,government,national,"The document mentions PAGE's support for 22 partner countries, including Ghana, in developing and implementing green economy policies and strategies. PAGE has supported over 100 policy reforms to advance green and circular economy approaches.","The document explicitly mentions PAGE (Partnership for Action on Green Economy), which is a UN-supported program, and its activities in supporting countries, including Ghana, in developing and implementing green economy policies and strategies.","[""PAGE works with partner countries to create lasting change embedded in national policies and institutions."", ""PAGE has supported over 100 policy reforms to advance green and circular economy approaches."", ""Ghana is listed as one of the 22 partner countries of PAGE.""]"
Kenya,2018-2022,2018,2022,2020,52,0,0.0,no evidence,0.0,0.0,False,Voluntary National Review of Progress towards the ...,https://assets.publishing.service.gov.uk/media/5d28c296ed915d2feeac499e/UK-Voluntary-National-Review-2019.pdf,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,assets_publishing_service_gov_uk_Voluntary_National_Review_of_Progress_towards_the_.txt,none,none,government,national,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance instruments in Kenya during 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and the policy instruments or standards mentioned in the document.,"[""The document is about the UK's Voluntary National Review of progress towards the Sustainable Development Goals and does not mention Kenya or UNEP-supported work.""]"
Kenya,2022-2026,2022,2026,2024,75,2,64.81,strong evidence,65.61,129.61,True,UNEP inputs to the SG report.pdf,https://sdgs.un.org/sites/default/files/2024-08/UNEP%20inputs%20to%20the%20SG%20report.pdf,UNEP programme Kenya sustainable consumption and production strategy revised policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2022-01-01 before:2026-01-01,sdgs_un_org_UNEP_inputs_to_the_SG_report_pdf.txt,SCP policy / circular economy policy / green economy policy,implemented / operationalized,government / public-sector institution,national,"The document provides evidence of UNEP's support for Kenya in implementing sustainable consumption and production approaches, particularly in the textile sector through the InTex Africa project.","UNEP provided support for Kenya in the textile sector through the InTex Africa project, which is part of UNEP's efforts to promote sustainable consumption and production approaches.","[""UNEP’s Textile Initiative provides strategic leadership and encourages sector-wide collaboration to accelerate a just transition towards a sustainable and circular textile value chain."", ""UNEP works along the entire textile value chain by applying UNEP’s roadmap for a circular textile sector, from developing global guidelines on trade and used textiles, to continuing and scaling its work on circular business models and access to environmental life-cycle data through its InTex project series, including the InTex Africa project (Kenya, South Africa, Tunisia).""]"
Lebanon,2018-2022,2018,2022,2020,67,0,0.0,no evidence,0.0,0.0,False,United Nations Environment Assembly of the ...,https://apps1.unep.org/resolutions/uploads/unep_aheg_2018_1_inf_4_unea2_edited.pdf,UNEP assisted Lebanon circular economy action plan revised policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,apps1_unep_org_United_Nations_Environment_Assembly_of_the_.txt,none,none,none,none,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches, or sustainable finance instruments for Lebanon during 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and any policy instrument or standard in Lebanon during 2018-2022.,[]
Lebanon,2022-2026,2022,2026,2024,59,0,0.0,no evidence,0.0,0.0,False,Country Cooperation Strategy - Dashboards,https://applications.emro.who.int/docs/9789292746667-eng.pdf,UNEP facilitated Lebanon life cycle approach policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2022-01-01 before:2026-01-01,applications_emro_who_int_Country_Cooperation_Strategy_Dashboards.txt,none,none,government / public-sector institution / private-sector institution / financial institution / industry association / mixed / unclear,global / regional / national / subnational / institutional / private sector / unclear,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches, or sustainable finance instruments.",There is no explicit link between UNEP or UNEP-supported work and any policy instrument or standard mentioned in the document.,"[""The document does not contain any relevant phrases related to SCP, circularity, green economy, or sustainable finance.""]"
Rwanda,2018-2022,2018,2022,2020,69,0,0.0,no evidence,0.0,0.0,False,Solid waste management in the context of the waste hierarchy ...,https://academic.oup.com/ieam/article/20/1/9/7725080,in collaboration with UNEP Rwanda circularity standards green economy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,academic_oup_com_Solid_waste_management_in_the_context_of_the_waste.txt,none,none,unclear,global,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance instruments in Rwanda during 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and any policy instrument or standard in Rwanda during 2018-2022.,"[""No relevant evidence found.""]"
Rwanda,2022-2026,2022,2026,2024,65,4,60.4,strong evidence,65.61,241.61,True,Resources,https://united4efficiency.org/approach-resources/,UNEP project Rwanda eco-label standard developed policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2022-01-01 before:2026-01-01,united4efficiency_org_Resources.txt,sustainable finance standard,launched,government,national,"The document mentions the launch of Rwanda Cooling Initiative's Green On-wage (R-COOL GO) financing mechanism on 31 January 2022, which indicates explicit evidence of a government action on a policy instrument for sustainable finance and green economy approaches.","The document explicitly links UNEP (through U4E) to the development and launch of the Rwanda Cooling Initiative's Green On-wage (R-COOL GO) financing mechanism, indicating strong attribution.","[""Launch of Rwanda Cooling Initiative’s Green On-wage (R-COOL GO) financing mechanism on 31 January 2022"", ""Rwanda Cooling Finance Initiative (R-COOL FI) is an initiative that aims to accelerate the adoption of energy-efficient and climate-friendly cooling solutions"", ""Using Finance to Accelerate Adoption of More Energy-Efficient and Climate-Friendly Appliances: Insights from Ghana, Senegal, and Rwanda""]"
