Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,finance_relevant,unep_attributed,attributable_relevant_doc,sd,finance_policy_score,unep_attribution_score,instrument_type,action_stage,actor_type,evidence_level,finance_justification,unep_justification,evidence_phrases
Brazil,2018-2022,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,2018,2022,2020,Green Development Guidance for BRI Projects Baseline ...,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,False,False,False,,0,0,none,none,unclear,unclear,No evidence found due to document fetch error.,No evidence found due to document fetch error.,[]
Brazil,2018-2022,https://antigo.mctic.gov.br/mctic/export/sites/institucional/arquivos/SIRENE/Comunicacoes-Nacionais-do-Brasil-a-UNFCCC/2020_12_22_4CN_v5_Ingles.pdf,2018,2022,2020,Fourth National Communication of Brazil to the UNFCCC - MCTI,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,antigo_mctic_gov_br_Fourth_National_Communication_of_Brazil_to_the_UNF.txt,False,False,False,,0,0,none,none,unclear,unclear,No evidence found due to document retrieval failure.,No evidence found due to document retrieval failure.,[]
Brazil,2018-2022,https://asean.org/wp-content/uploads/2021/06/ASEAN-Regional-Green-Jobs-policy-readiness-Report-web.pdf,2018,2022,2020,▶ Regional Study on Green Jobs Policy Readiness in ...,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,asean_org__Regional_Study_on_Green_Jobs_Policy_Readiness_in_.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document could not be retrieved, and therefore, no evidence related to sustainable finance, green economy, or SCP policies in Brazil from 2018-2022 could be assessed.","The document could not be retrieved, and therefore, no evidence related to UNEP's involvement in sustainable finance, green economy, or SCP policies in Brazil from 2018-2022 could be assessed.",[]
Brazil,2018-2022,https://circulareconomy.europa.eu/platform/sites/default/files/2023-08/FinCir.pdf,2018,2022,2020,Demystifying Finance for Circular Economies,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,circulareconomy_europa_eu_Demystifying_Finance_for_Circular_Economies.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found about Brazil or 2018-2022 time frame.,No UNEP attribution found.,[]
Brazil,2018-2022,https://climatepolicyinitiative.org/wp-content/uploads/2018/12/BID-Ensuring-Greener-Economic-Growth-for-Brazil.pdf,2018,2022,2020,ENSURING GREENER ECONOMIC GROWTH FOR BRAZIL,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,climatepolicyinitiative_org_ENSURING_GREENER_ECONOMIC_GROWTH_FOR_BRAZIL.txt,False,False,False,,0,0,none,none,none,global,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches, or policy instruments that accelerate the shift towards SCP, circularity, or green economy approaches in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://climatepromise.undp.org/sites/default/files/research_report_document/undp-clmate-promise-vanuatu-circular-economy-opportunities.pdf,2018,2022,2020,Circular economy opportunities Vanuatu,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,climatepromise_undp_org_Circular_economy_opportunities_Vanuatu.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches, or related policy instruments and standards in Brazil during 2018-2022.",The document does not mention UNEP or UNEP-supported work related to policy instruments or standards in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://clmeplus.org/app/uploads/2020/06/10547_MFA_PIF.pdf,2018,2022,2020,Reduce marine plastics and plastic pollution in Latin ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,clmeplus_org_Reduce_marine_plastics_and_plastic_pollution_in_La.txt,False,False,False,,0,0,none,none,unclear,unclear,No evidence found due to document retrieval failure,No evidence found due to document retrieval failure,[]
Brazil,2018-2022,https://content.ellenmacarthurfoundation.org/m/40e9896bc9131b6b/original/Financing-the-circular-economy-Capturing-the-opportunity.pdf,2018,2022,2020,Financing the circular economy,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,content_ellenmacarthurfoundation_org_Financing_the_circular_economy.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022, and does not discuss policy instruments or standards for sustainable consumption and production, circular economy, or green economy approaches.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://eba.se/app/uploads/2021/05/WP_2021_05_Slunge-Andersson-Wikstr%C3%B6m-Sterner.pdf,2018,2022,2020,Circular Economy,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,eba_se_Circular_Economy.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found,No UNEP attribution found,[]
Brazil,2018-2022,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,2018,2022,2020,First Global Report,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,environmentalmigration_iom_int_First_Global_Report.txt,False,False,False,,0,0,none,none,none,global,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy, green economy, sustainable public procurement, resource efficiency, life-cycle approaches, sustainable finance, or standards/policy instruments that accelerate SCP/circularity/green economy approaches in Brazil during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to any policy instrument or standard related to SCP, circularity, or green economy approaches in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://ewastemonitor.info/wp-content/uploads/2020/11/GEM_2020_def_july1_low.pdf,2018,2022,2020,The Global E-waste Monitor 2020,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,ewastemonitor_info_The_Global_E_waste_Monitor_2020.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found about Brazil or 2018-2022 time frame.,No explicit link to UNEP or UNEP-supported work found.,[]
Brazil,2018-2022,https://faolex.fao.org/docs/pdf/jam208026.pdf,2018,2022,2020,NATIONAL POLICY (WHITE PAPER) ON ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,faolex_fao_org_NATIONAL_POLICY_WHITE_PAPER_ON_.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022. It appears to be a national policy on Environmental Management Systems (EMS) for Jamaica, not Brazil.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on the SP6.1 policy instrument or standard in Brazil (in 2018-2022).","[""Not relevant""]"
Brazil,2018-2022,https://gefcrew.org/carrcu/19IGM/LBSCOP5/Info-Docs/WG.41INF.10Rev.1-en.pdf,2018,2022,2020,Regional Nutrient Pollution Reduction Strategy and Action ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,gefcrew_org_Regional_Nutrient_Pollution_Reduction_Strategy_and.txt,False,False,False,,0,0,none,none,none,global,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches in Brazil during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to enabling, supporting, developing, adopting, revising, implementing, or taking action on policy instruments or standards in Brazil during 2018-2022.","[""The document is about nutrient pollution in the Wider Caribbean Region and does not mention Brazil or SCP/circularity/green economy approaches.""]"
