Title,URL,TextFile,Status,Reason
"(PDF) UNEP 2021, Sustainable Public Procurement",https://www.researchgate.net/publication/355889107_UNEP_2021_Sustainable_Public_Procurement_How_to_Wake_the_Sleeping_Giant_Introducing_the_United_Nations_Environment_Programme's_Approach,www_researchgate_net__PDF_UNEP_2021_Sustainable_Public_Procurement.txt,failed,[BLOCKED_403] https://www.researchgate.net/publication/355889107_UNEP_2021_Sustainable_Public_Procurement_How_to_Wake_the_Sleeping_Giant_Introducing_the_United_Nations_Environment_Programme's_Approach
RETHINKING GENDER-RESPONSIVE PROCUREMENT,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Rethinking-gender-responsive-procurement-en.pdf,www_unwomen_org_RETHINKING_GENDER_RESPONSIVE_PROCUREMENT.txt,failed,[BLOCKED_403] https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Library/Publications/2021/Rethinking-gender-responsive-procurement-en.pdf
About,https://www.oneplanetnetwork.org/programmes/sustainable-public-procurement/about,www_oneplanetnetwork_org_About.txt,failed,[BLOCKED_403] https://www.oneplanetnetwork.org/programmes/sustainable-public-procurement/about
Implemented by,https://www.switch-asia.eu/site/assets/files/1426/presentations-policy_dialogue_on_sdg12_reporting.pdf,www_switch-asia_eu_Implemented_by.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.switch-asia.eu', port=443): Max retries exceeded with url: /site/assets/files/1426/presentations-policy_dialogue_on_sdg12_reporting.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E215B13C70>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has fa"
German Sustainable Development Strategy,https://www.bundesregierung.de/resource/blob/974430/1940716/1c63c8739d10011eb116fda1aecb61ca/german-sustainable-development-strategy-en-data.pdf,www_bundesregierung_de_German_Sustainable_Development_Strategy.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.bundesregierung.de', port=443): Max retries exceeded with url: /resource/blob/974430/1940716/1c63c8739d10011eb116fda1aecb61ca/german-sustainable-development-strategy-en-data.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2566AEC70>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established conne"
Digital Strategy 2022-2025,https://www.undp.org/digital/Digital-Strategy,www_undp_org_Digital_Strategy_2022_2025.txt,failed,[BLOCKED_403] https://www.undp.org/digital/Digital-Strategy
Sustainable food systems: Concept and framework,https://openknowledge.fao.org/server/api/core/bitstreams/b620989c-407b-4caf-a152-f790f55fec71/content,openknowledge_fao_org_Sustainable_food_systems_Concept_and_framework.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='openknowledge.fao.org', port=443): Max retries exceeded with url: /server/api/core/bitstreams/b620989c-407b-4caf-a152-f790f55fec71/content (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E204FE4B20>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has fai"
The EU in 2021 - General Report on the Activities of the ...,https://op.europa.eu/webpub/com/general-report-2021/en/,op_europa_eu_The_EU_in_2021_General_Report_on_the_Activities_of.txt,failed,[BLOCKED_403] https://op.europa.eu/webpub/com/general-report-2021/en/
One Planet Network,https://www.greenindustryplatform.org/organization/one-planet-network,www_greenindustryplatform_org_One_Planet_Network.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.greenindustryplatform.org', port=443): Max retries exceeded with url: /organization/one-planet-network (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2238979D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Strategy for New India @ 75,https://niti.gov.in/sites/default/files/2019-01/Strategy_for_New_India_0.pdf,niti_gov_in_Strategy_for_New_India_75.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='niti.gov.in', port=443): Max retries exceeded with url: /sites/default/files/2019-01/Strategy_for_New_India_0.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E205D939A0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
