Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,About,https://www.oneplanetnetwork.org/programmes/sustainable-public-procurement/about,"Through Sustainable Public Procurement, governments can lead by example and deliver key policy objectives and send strong market signals. A recognised strategic ...",https://www.oneplanetnetwork.org › programmes › about,www_oneplanetnetwork_org_About.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,One Planet network – a global multi-stakeholder partnership ...,https://sdgs.un.org/partnerships/one-planet-network-global-multi-stakeholder-partnership-and-key-implementation,The One Planet network has the mission to accelerate the shift towards Sustainable Consumption and Production (SCP) in both developed and developing countries.,https://sdgs.un.org › partnerships › one-planet-network-g...,sdgs_un_org_One_Planet_network_a_global_multi_stakeholder_part.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,One Planet Network,https://www.greenindustryplatform.org/organization/one-planet-network,"The One Planet network has formed to implement the commitment of the 10YFP. It is a multi-stakeholder partnership for sustainable development, generating ...",https://www.greenindustryplatform.org › organization,www_greenindustryplatform_org_One_Planet_Network.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,"(PDF) UNEP 2021, Sustainable Public Procurement",https://www.researchgate.net/publication/355889107_UNEP_2021_Sustainable_Public_Procurement_How_to_Wake_the_Sleeping_Giant_Introducing_the_United_Nations_Environment_Programme's_Approach,"The Sustainable Public Procurement Implementation Guidelines give direction to SPP policy makers, experts and consultants on designing Sustainable Public ...",https://www.researchgate.net › ... › Public Procurement,www_researchgate_net__PDF_UNEP_2021_Sustainable_Public_Procurement.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,Bridging funding gaps for climate and sustainable ...,https://www.sciencedirect.com/science/article/pii/S0264837717310049,We conclude that far more coordinated efforts are required to encourage investments in long-term and sustainable landscape-scale initiatives.,https://www.sciencedirect.com › science › article › pii,www_sciencedirect_com_Bridging_funding_gaps_for_climate_and_sustainable_.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,the national water resources strategy (2020 - 2025),https://faolex.fao.org/docs/pdf/ken214249.pdf,"The policy seeks to achieve this goal through an integrated approach to planning and sustainable management of the country`s environment and natural resources, ...",https://faolex.fao.org › docs › pdf › ken214249,faolex_fao_org_the_national_water_resources_strategy_2020_2025_.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,"Making trade work for the environment, prosperity and ...",https://www.wto.org/english/res_e/publications_e/unereport2018_e.pdf,"Committee on Government Procurement adopted several work programmes, including one on sustainable procurement. The overall goal of this work programme is to ...",https://www.wto.org › res_e › unereport2018_e,www_wto_org_Making_trade_work_for_the_environment_prosperity_a.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,Implemented by,https://www.switch-asia.eu/site/assets/files/1426/presentations-policy_dialogue_on_sdg12_reporting.pdf,SDG Reporting is mainly for national governments to track progress towards SDGs and identify actions which need to be taken to deliver on the 2030 Agenda.,https://www.switch-asia.eu › site › assets › files,www_switch-asia_eu_Implemented_by.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,Six ways that governments can drive the green transition,https://www.ey.com/en_gl/insights/government-public-sector/six-ways-that-governments-can-drive-the-green-transition,Governments can choose from a wide range of policy interventions and financing measures to support the transformation of energy and industrial systems.,https://www.ey.com › en_gl › government-public-sector,www_ey_com_Six_ways_that_governments_can_drive_the_green_tran.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,High-quality health systems in the Sustainable Development ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC7734391/,"First, health system leaders need to govern for quality by adopting a shared vision of quality care, a clear quality strategy, strong regulation, and continuous ...",https://pmc.ncbi.nlm.nih.gov › articles › PMC7734391,pmc_ncbi_nlm_nih_gov_High_quality_health_systems_in_the_Sustainable_Dev.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,Scaling up Voluntary Sustainability Standards through ...,https://unctad.org/system/files/official-document/unfss_4th_2020_en.pdf,The United Nations Forum on Sustainability Standards (UNFSS) is a platform created to analyse voluntary sustainability standards (VSS) and disseminate ...,https://unctad.org › files › official-document,unctad_org_Scaling_up_Voluntary_Sustainability_Standards_thro.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,Shaping the future we want: UN Decade of Education for ...,https://unesdoc.unesco.org/ark:/48223/pf0000230171,The Decade has activated hundreds of thousands of people to reorient education globally towards a central goal: to learn to live and work sustainably.,https://unesdoc.unesco.org › ark:,unesdoc_unesco_org_Shaping_the_future_we_want_UN_Decade_of_Education_.txt
Kenya,2018–2022,1,One Planet Network supported Kenya sustainable procurement policy implemented policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,SDGs STATUS REPORT,https://sdgs.planning.go.ke/wp-content/uploads/2021/02/SDGs-Status-Report-2019.pdf,"To further strengthen the local capacity for SDGs, the government has undertaken a detailed analysis of SDGs indicators against Kenyan policy framework. The ...",https://sdgs.planning.go.ke › uploads › 2021/02,sdgs_planning_go_ke_SDGs_STATUS_REPORT.txt
