Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,SP7_1_Ci_t_UNEP,extent_of_unep_attributed_sp7_1_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_sp7_1_digital_improvement,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_improvement_type,best_evidence_action_stage,best_evidence_actor_type,best_evidence_level,best_evidence_digital_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2018-2022,2018,2022,2020,53,0,0.0,no evidence,0.0,0.0,False,Green Development Guidance for BRI Projects Baseline ...,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,none,none,unclear,unclear,No document text available for analysis due to fetch error.,No document text available for analysis due to fetch error.,[]
Brazil,2022-2026,2022,2026,2024,60,1,48.0,moderate evidence,48.0,48.0,True,New Coalition aims to put Artificial Intelligence on a more ...,https://www.unep.org/news-and-stories/press-release/new-coalition-aims-put-artificial-intelligence-more-sustainable-path,UNEP environmental data Brazil AI for environment measured data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2022-01-01 before:2026-01-01,www_unep_org_New_Coalition_aims_to_put_Artificial_Intelligence_.txt,sustainable AI practices,developed,UN or international organization,global,"The document mentions the Coalition for Environmentally Sustainable Artificial Intelligence (AI), which aims to put AI on a more environmentally sustainable path. The Coalition, spearheaded by France, the UN Environment Programme (UNEP), and the International Telecommunication Union (ITU), brings together stakeholders across the AI value chain for dialogue and collaborative initiatives. This indicates a development in sustainable AI practices.",The document explicitly mentions UNEP's involvement in spearheading the Coalition for Environmentally Sustainable Artificial Intelligence (AI) and releasing an issue note in 2024 that explores AI's environmental footprint. UNEP is also mentioned as publishing a guide to encourage public and private purchases towards energy-efficient data centres in 2025.,"[""Coalition for Environmentally Sustainable Artificial Intelligence (AI)"", ""UN Environment Programme (UNEP) and the International Telecommunication Union (ITU)"", ""spearheaded by France, the UN Environment Programme (UNEP) and the International Telecommunication Union (ITU)"", ""UNEP released an issue note that explores AI’s environmental footprint"", ""UNEP will publish a guide to encourage public and private purchases towards energy-efficient data centres""]"
Ghana,2018-2022,2018,2022,2020,60,0,0.0,no evidence,0.0,0.0,False,Solid waste management in the context of the waste hierarchy ...,https://academic.oup.com/ieam/article/20/1/9/7725080,UNEP project Ghana digital public infrastructure environment trained data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,academic_oup_com_Solid_waste_management_in_the_context_of_the_waste.txt,none,none,unclear,unclear,No evidence found due to document fetch failure.,No evidence found due to document fetch failure.,[]
Ghana,2022-2026,2022,2026,2024,56,0,0.0,no evidence,0.0,0.0,False,Use of Big Data and AI in Green Skills anticipation and ...,https://acqf.africa/skills-data-focus/green-skills/green-skills-reports-and-presentations/6-session-16_use-of-big-data-and-ai-in-green-skills-anticipation-and-qualifications-management_m-pelucchi_nairobi-forum.pdf,with UNEP support Ghana environmental information system trained data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2022-01-01 before:2026-01-01,acqf_africa_Use_of_Big_Data_and_AI_in_Green_Skills_anticipatio.txt,none,none,unclear,unclear,"The document does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Ghana during 2022-2026.",There is no explicit link between UNEP or UNEP-supported work and the SP7.1 improvement/capacity/sustainable AI outcome in Ghana during 2022-2026.,[]
Kenya,2018-2022,2018,2022,2020,68,0,0.0,no evidence,0.0,0.0,False,United Nations Environment Programme (UNEP) - AI for Good,https://aiforgood.itu.int/about-us/un-ai-actions/unep/,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,aiforgood_itu_int_United_Nations_Environment_Programme_UNEP_AI_for_G.txt,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Kenya,2022-2026,2022,2026,2024,66,1,48.0,moderate evidence,48.0,48.0,True,Data for a Changing Planet: Transparency as a Means ...,https://www.unep.org/events/unep-event/data-changing-planet-transparency-means-accountability-and-decision-making,UNEP initiative Kenya environmental data analytics upgraded data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2022-01-01 before:2026-01-01,www_unep_org_Data_for_a_Changing_Planet_Transparency_as_a_Means.txt,data management system / environmental data platform / data governance / capacity development,developed / implemented / used,government / public-sector institution / UN or international organization,national / international,"The document mentions Kenya's efforts to advance digital systems for tracking climate actions and financial flows. UNEP's new tools, such as the World Environment Situation Room, the Climate Mirror, and the Environment GPT, aim to address data gaps and provide integrated, verifiable, and accessible information.","UNEP's Climate Change Division Director and Head of UNEP's Digital Office are quoted, and UNEP's tools and strategies are mentioned as supporting data management and environmentally sustainable practices in Kenya.","[""Kenya is advancing digital systems to track climate actions and financial flows"", ""UNEP's new Global Environmental Data Strategy and tools"", ""The World Environment Situation Room, the Climate Mirror and the newly available Environment GPT"", ""UNEP Climate Change Division Director Martin Krause stressed that transparency is evolving into a core enabler of climate action"", ""Sally Radwan, Head of UNEP’s Digital Office, outlined the promise and risks of the “data revolution”""]"
Lebanon,2018-2022,2018,2022,2020,48,0,0.0,no evidence,0.0,0.0,False,About us - AI for Good - ITU,https://aiforgood.itu.int/about-us/,UNEP initiative Lebanon geospatial environmental data operationalized data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,aiforgood_itu_int_About_us_AI_for_Good_ITU.txt,none,none,unclear,unclear,No relevant information found,No UNEP link found,[]
Lebanon,2022-2026,2022,2026,2024,68,0,0.0,no evidence,0.0,0.0,False,Digital Transformation with Africa,https://2021-2025.state.gov/digital-transformation-with-africa/,World Environment Situation Room Lebanon environmental digital transformation launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2022-01-01 before:2026-01-01,2021-2025_state_gov_Digital_Transformation_with_Africa.txt,none,none,unclear,unclear,"The document does not contain explicit evidence related to 'Lebanon' or 'Lebanon' stakeholders/institutions in 2022–2026. It primarily discusses the U.S.-Africa Leaders Summit and the Digital Transformation with Africa (DTA) initiative, focusing on various African countries but not mentioning Lebanon.",There is no mention of UNEP or UNEP-supported work in the document related to 'Lebanon' or 'Lebanon' stakeholders/institutions in 2022–2026.,[]
Rwanda,2018-2022,2018,2022,2020,57,0,0.0,no evidence,0.0,0.0,False,Speaker Biographies,http://slocat.net/wp-content/uploads/2021/01/En-Route-to-COP26_Speaker-Bios.pdf,UNEP Digital Transformation Rwanda digital public infrastructure environment established data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,slocat_net_Speaker_Biographies.txt,none,none,none,none,"The document does not contain explicit evidence related to Rwanda or the time window 2018-2022, nor does it discuss environmental data management, sustainable AI practices, or capacity and skills development in these areas.",There is no mention of UNEP or UNEP-supported work in relation to Rwanda or the specified time window.,[]
Rwanda,2022-2026,2022,2026,2024,60,0,0.0,no evidence,0.0,0.0,False,A look into the development of University of Rwanda's AI ...,https://aceiot.ur.ac.rw/tair/frontend/article.php?id=19,with UNEP support Rwanda environmental data analytics measured data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2022-01-01 before:2026-01-01,aceiot_ur_ac_rw_A_look_into_the_development_of_University_of_Rwand.txt,AI strategy development / AI policy development / capacity development,developed / implemented / planned,government / public-sector institution / academia,national / institutional,"The document describes the development of the University of Rwanda's AI strategy, including a workshop with stakeholders from various government and institutional backgrounds. While it outlines plans for AI strategy development, capacity building, and priority sectors such as environment, it does not provide clear evidence of measured improvements in data management or environmentally sustainable AI practices.",There is no explicit mention of UNEP or UNEP-supported work in the document.,"[""The Transformative Artificial Intelligence Research and Innovation Lab (TAIRI Lab) hosting 10 postgraduate students focusing their research efforts on AI in agriculture, health and environment"", ""a three-day workshop on AI strategy development"", ""Rwanda's national AI guidelines a framework built on five pillars"", ""quality data is the essential prerequisite for everything else"", ""the working groups formed during the workshop have continue work together to update and co-develop the Institutional AI policy""]"
