Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,digital_relevant,unep_attributed,attributable_relevant_doc,sd,digital_practice_score,unep_attribution_score,improvement_type,action_stage,actor_type,evidence_level,digital_justification,unep_justification,evidence_phrases
Brazil,2018-2022,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,2018,2022,2020,Green Development Guidance for BRI Projects Baseline ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No document text available for analysis due to fetch error.,No document text available for analysis due to fetch error.,[]
Brazil,2018-2022,http://slocat.net/wp-content/uploads/2021/01/En-Route-to-COP26_Speaker-Bios.pdf,2018,2022,2020,Speaker Biographies,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,slocat_net_Speaker_Biographies.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Brazil during 2018-2022, nor does it discuss improved data management, environmental data systems/platforms/workflows, environmentally sustainable AI practices, or capacity/skills development in these areas.",There is no mention of UNEP or UNEP-supported work in the provided document.,[]
Brazil,2018-2022,https://aiforgood.itu.int/about-us/un-ai-actions/unep/,2018,2022,2020,United Nations Environment Programme (UNEP) - AI for Good,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,aiforgood_itu_int_United_Nations_Environment_Programme_UNEP_AI_for_G.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant evidence found due to document fetch error.,No UNEP attribution evidence due to document fetch error.,[]
Brazil,2018-2022,https://antigo.mctic.gov.br/mctic/export/sites/institucional/arquivos/SIRENE/Comunicacoes-Nacionais-do-Brasil-a-UNFCCC/2020_12_22_4CN_v5_Ingles.pdf,2018,2022,2020,Fourth National Communication of Brazil to the UNFCCC - MCTI,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,antigo_mctic_gov_br_Fourth_National_Communication_of_Brazil_to_the_UNF.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No evidence found due to document fetch error.,No evidence found due to document fetch error.,[]
Brazil,2018-2022,https://cefic.org/app/uploads/2019/06/Cefic_Mid-Century-Vision-Molecule-Managers-Brochure.pdf,2018,2022,2020,Molecule Managers,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,cefic_org_Molecule_Managers.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://data.consilium.europa.eu/doc/document/ST-9973-2020-INIT/en/pdf,2018,2022,2020,citizen science for environmental monitoring - Data,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,data_consilium_europa_eu_citizen_science_for_environmental_monitoring_Data.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found in the document.,No UNEP attribution found in the document.,[]
Brazil,2018-2022,https://digitalcommons.odu.edu/context/itds_facpubs/article/1061/viewcontent/He_2022_ClimateChangeandCOP26AreDigitalTechnologiesOCR.pdf,2018,2022,2020,Climate change and COP26 - ODU Digital Commons,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,digitalcommons_odu_edu_Climate_change_and_COP26_ODU_Digital_Commons.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No document text available for analysis due to fetch error.,No document text available for analysis due to fetch error.,[]
Brazil,2018-2022,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,2018,2022,2020,First Global Report,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,environmentalmigration_iom_int_First_Global_Report.txt,False,False,False,,0.0,0.0,none,none,none,none,"The document does not contain explicit evidence related to Brazil or the time window 2018–2022, nor does it discuss digital/data/AI practices, environmental data management, or sustainable AI practices.","The document does not explicitly link UNEP or UNEP-supported work to any specific improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018–2022.",[]
Brazil,2018-2022,https://eprints.qut.edu.au/210615/1/85050657.pdf,2018,2022,2020,Digital Technologies for Urban Metabolism Efficiency,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,eprints_qut_edu_au_Digital_Technologies_for_Urban_Metabolism_Efficien.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"Document could not be fetched, no evidence available.","Document could not be fetched, no evidence available.",[]
Brazil,2018-2022,https://g20sfwg.org/wp-content/uploads/2021/06/G20_Sustainable_Finance_Synthesis_Report_2018.pdf,2018,2022,2020,Sustainable Finance Synthesis Report,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,g20sfwg_org_Sustainable_Finance_Synthesis_Report.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://knowledge4all.com/admin/Reports/FOK_2021En.pdf,2018,2022,2020,FUTURE OF KNOWLEDGE,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,knowledge4all_com_FUTURE_OF_KNOWLEDGE.txt,False,False,False,,0.0,0.0,none,none,unclear,global,"The document is not specific to Brazil or the time window 2018-2022. It is a general report about the future of knowledge, technological readiness, and global risks, and does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity and skills development in Brazil.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil.",[]
Brazil,2018-2022,https://openknowledge.worldbank.org/server/api/core/bitstreams/42704643-0f5f-57d5-a913-1c0969890d1f/content,2018,2022,2020,"ENVIRONMENTAL, SOCIAL, AND GOVERNANCE INVESTING",UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,openknowledge_worldbank_org_ENVIRONMENTAL_SOCIAL_AND_GOVERNANCE_INVESTING.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No evidence available due to document fetch error,No evidence available due to document fetch error,[]
Brazil,2018-2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8106999/,2018,2022,2020,"The Concept, Practice, Application, and Results of Locally ...",with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,pmc_ncbi_nlm_nih_gov_The_Concept_Practice_Application_and_Results_of_Lo.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,,,[]
Brazil,2018-2022,https://rds.org.co/apc-aa-files/205ec78c9cca6d1850bdca24e20e50bf/igf-2021-pne-output-document.pdf,2018,2022,2020,Recommendations on Using Digitalisation for Our ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,rds_org_co_Recommendations_on_Using_Digitalisation_for_Our_.txt,False,False,False,,0.0,0.0,none,none,none,none,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,There is no explicit link between UNEP or UNEP-supported work and measured improvements in data management or environmentally sustainable AI practices in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://repository.unescap.org/server/api/core/bitstreams/f4067260-1f14-433c-888e-2fb9af977a74/content,2018,2022,2020,Digital technologies for climate change adaptation in Asia ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,repository_unescap_org_Digital_technologies_for_climate_change_adaptation.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022, nor does it discuss improvements in data management, environmental data systems, or sustainable AI practices.",There is no explicit link between UNEP or UNEP-supported work and any improvements in data management or sustainable AI practices in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://resourcegovernance.org/sites/default/files/documents/nrgi_measuring_environmental_and_social_impacts_tool_explorer_2019.xlsx,2018,2022,2020,Find A Tool,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,resourcegovernance_org_Find_A_Tool.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,,,[]
Brazil,2018-2022,https://s41721.pcdn.co/wp-content/uploads/2021/06/2401225_AI_Governance_Day_2024_Report-E.pdf,2018,2022,2020,AI Governance Day - From Principles to Implementation,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,s41721_pcdn_co_AI_Governance_Day_From_Principles_to_Implementatio.txt,False,False,False,,0.0,0.0,none,none,none,none,"The document does not contain explicit evidence related to measured improvements in digital/data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://s41721.pcdn.co/wp-content/uploads/2021/06/eBat-2402309_AI-for-Good-Impact-Report-E-v6.pdf,2018,2022,2020,AI for Good Impact Report,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,s41721_pcdn_co_AI_for_Good_Impact_Report.txt,False,False,False,,0.0,0.0,none,none,none,none,"The document does not contain explicit evidence related to measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://sciencebasedtargetsnetwork.org/wp-content/uploads/2021/08/SBTN-Tool-Database_July-2021.xlsx,2018,2022,2020,Tools Database,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,sciencebasedtargetsnetwork_org_Tools_Database.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found.,No UNEP attribution found.,[]
Brazil,2018-2022,https://shareholdersandinvestors.bbva.com/wp-content/uploads/2021/03/Annual-Report-2020_ENG1.pdf,2018,2022,2020,Annual Report - 2020,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,shareholdersandinvestors_bbva_com_Annual_Report_2020.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://tii.unido.org/sites/default/files/publications/QI_SDG_PUBLICATION_Dec2019.pdf,2018,2022,2020,Rebooting Quality Infrastructure for a Sustainable Future,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,tii_unido_org_Rebooting_Quality_Infrastructure_for_a_Sustainable.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022, nor does it discuss improvements in data management, environmental data systems, or sustainable AI practices.",There is no explicit link between UNEP or UNEP-supported work and any improvements in data management or sustainable AI practices in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://unepccc.org/wp-content/uploads/2019/04/msme-adaptation-updated-web-2.pdf,2018,2022,2020,Private-sector action in adaptation: Perspectives on the ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,unepccc_org_Private_sector_action_in_adaptation_Perspectives_o.txt,False,False,False,,0.0,0.0,none,none,academic / research institution,global,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Brazil during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","[""No relevant evidence phrases found.""]"
Brazil,2018-2022,https://unesdoc.unesco.org/ark:/48223/pf0000374802,2018,2022,2020,Education for sustainable development: a roadmap,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,unesdoc_unesco_org_Education_for_sustainable_development_a_roadmap.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found.,No UNEP link found.,[]
Brazil,2018-2022,https://unhabitat.org/sites/default/files/2022/06/un-habitat_2022_catalogue_of_services_digital-compressed.pdf,2018,2022,2020,2022 CATALOGUE OF SERVICES,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,unhabitat_org_2022_CATALOGUE_OF_SERVICES.txt,False,False,False,,0.0,0.0,none,none,UN or international organization,global,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,"The document does not explicitly link UNEP or UNEP-supported work to the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.cebri.org/media/documentos/arquivos/Relatorio_A4_EN_6jul-compactad.pdf,2018,2022,2020,BRAZIL AND CHINA,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_cebri_org_BRAZIL_AND_CHINA.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No evidence found due to document fetch failure,No evidence found due to document fetch failure,[]
Brazil,2018-2022,https://www.climatechange.ai/papers,2018,2022,2020,Climate Change AI Workshop Papers,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_climatechange_ai_Climate_Change_AI_Workshop_Papers.txt,False,False,False,,0.0,0.0,none,none,none,unclear,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,"There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.ecgi.global/sites/default/files/working_papers/documents/ringefinal.pdf,2018,2022,2020,Investor-led Sustainability in Corporate Governance,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_ecgi_global_Investor_led_Sustainability_in_Corporate_Governanc.txt,False,False,False,,0.0,0.0,none,none,academic / researcher,institutional,"The document does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",There is no mention of UNEP or UNEP-supported work in the document.,"[""No relevant phrases found""]"
Brazil,2018-2022,https://www.facebook.com/AITasia/posts/october-15-2021-a-two-day-webinar-series-on-big-earth-data-for-the-sustainable-d/10159460345544709/,2018,2022,2020,"October 15, 2021 – A two-day webinar series on “Big Earth ...",UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_facebook_com_October_15_2021_A_two_day_webinar_series_on_Big_Ea.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022. It discusses a webinar on big earth data for sustainable development goals, but it is not relevant to the SP7.1 indicator for Brazil.",There is no mention of UNEP or UNEP-supported work in the document.,[]
Brazil,2018-2022,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,2018,2022,2020,FROM POLLUTION TO SOLUTION,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found due to document fetch error.,No relevant information found due to document fetch error.,[]
Brazil,2018-2022,https://www.graduateinstitute.ch/sites/internet/files/2021-06/Greening%20Trade_CDB_Final_Web.pdf,2018,2022,2020,greening international trade: pathways forward,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_graduateinstitute_ch_greening_international_trade_pathways_forward.txt,False,False,False,,0.0,0.0,none,none,academic / researcher,global,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,"Although the document mentions UNEP, it does not explicitly link UNEP or UNEP-supported work to measured improvements in data management or environmentally sustainable AI practices in Brazil during 2018-2022.","[""No relevant evidence found""]"
Brazil,2018-2022,https://www.greenindustryplatform.org/blog/promise-and-peril-digital-ecosystem-planet,2018,2022,2020,The Promise and Peril of a Digital Ecosystem for the Planet,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_greenindustryplatform_org_The_Promise_and_Peril_of_a_Digital_Ecosystem_for_t.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not provide explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Brazil during 2018-2022.","The document mentions UNEP and its work but does not explicitly link UNEP or UNEP-supported work to the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","[""The document discusses the potential of digital technologies for environmental sustainability and the need for a global digital ecosystem for the planet, but it does not provide specific evidence of improvements in Brazil.""]"
Brazil,2018-2022,https://www.greenpolicyplatform.org/sites/default/files/downloads/resource/irp-mineral_resource_governance-full_report-feb2020_compressed_compressed%20(1).pdf,2018,2022,2020,Mineral Resource Governance in the 21st Century,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_greenpolicyplatform_org_Mineral_Resource_Governance_in_the_21st_Century.txt,False,False,False,,0.0,0.0,none,none,none,none,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022. It appears to be a comprehensive report on mineral resource governance in the 21st century, focusing on gearing extractive industries towards sustainable development. The report discusses various aspects of mining, including environmental and social impacts, governance, and policy options. However, it does not provide specific information on digital/data management, sustainable AI practices, or capacity and skills development in these areas.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil (in 2018-2022). The report acknowledges UNEP's involvement in the International Resource Panel but does not provide specific attribution to UNEP for any improvements in digital/data management or sustainable AI practices.",[]
Brazil,2018-2022,https://www.idos-research.de/uploads/media/TWI2050-for-web.pdf,2018,2022,2020,The Digital Revolu on and Sustainable Development,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_idos-research_de_The_Digital_Revolu_on_and_Sustainable_Development.txt,False,False,False,,0.0,0.0,none,none,unclear,global,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,There is no explicit link between UNEP or UNEP-supported work and measured improvements in data management or environmentally sustainable AI practices in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.iif.com/portals/1/files/tsvcm_report.pdf,2018,2022,2020,TASKFORCE ON SCALING VOLUNTARY CARBON ...,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_iif_com_TASKFORCE_ON_SCALING_VOLUNTARY_CARBON_.txt,False,False,False,,0.0,0.0,none,none,private sector,global,"The document does not contain explicit evidence related to improved data management, environmental data systems/platforms/workflows, environmentally sustainable AI practices, or capacity/skills development in data management or AI for Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.mdpi.com/2071-1050/13/24/13669,2018,2022,2020,Artificial Intelligence-Driven Digital Technologies to the ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_mdpi_com_Artificial_Intelligence_Driven_Digital_Technologie.txt,False,False,False,,0.0,0.0,none,none,none,none,The document does not provide explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,"There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
