Title,URL,TextFile,Status,Reason
United Nations Environment Programme (UNEP) - AI for Good,https://aiforgood.itu.int/about-us/un-ai-actions/unep/,aiforgood_itu_int_United_Nations_Environment_Programme_UNEP_AI_for_G.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='aiforgood.itu.int', port=443): Max retries exceeded with url: /about-us/un-ai-actions/unep/ (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E205166EE0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Sustainable Finance Synthesis Report,https://g20sfwg.org/wp-content/uploads/2021/06/G20_Sustainable_Finance_Synthesis_Report_2018.pdf,g20sfwg_org_Sustainable_Finance_Synthesis_Report.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='g20sfwg.org', port=443): Max retries exceeded with url: /wp-content/uploads/2021/06/G20_Sustainable_Finance_Synthesis_Report_2018.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21AC43E50>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed t"
Transformations to Achieve the Sustainable Development ...,https://pure.iiasa.ac.at/id/eprint/15347/1/TWI2050_Report081118-web-new.pdf,pure_iiasa_ac_at_Transformations_to_Achieve_the_Sustainable_Develop.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='pure.iiasa.ac.at', port=443): Max retries exceeded with url: /id/eprint/15347/1/TWI2050_Report081118-web-new.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20F9B9790>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
FROM POLLUTION TO SOLUTION,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.gdr-po.cnrs.fr', port=443): Max retries exceeded with url: /docs/UNEP_2021.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20F9B9100>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
PG-Syllabi-Vol-02.pdf,https://icar.org.in/sites/default/files/inline-files/PG-Syllabi-Vol-02.pdf,icar_org_in_PG_Syllabi_Vol_02_pdf.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='icar.org.in', port=443): Max retries exceeded with url: /sites/default/files/inline-files/PG-Syllabi-Vol-02.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20DD369A0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
compendium of data protection and privacy policies,https://unstats.un.org/legal-identity-agenda/documents/Paper/data_protecton_%20and_privacy.pdf,unstats_un_org_compendium_of_data_protection_and_privacy_policies.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='unstats.un.org', port=443): Max retries exceeded with url: /legal-identity-agenda/documents/Paper/data_protecton_%20and_privacy.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E20DD367C0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to "
United Nations Activities on Artificial Intelligence (AI) 2020,https://www.itu.int/dms_pub/itu-s/opb/gen/S-GEN-UNACT-2020-1-PDF-E.pdf,www_itu_int_United_Nations_Activities_on_Artificial_Intelligen.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.itu.int', port=443): Max retries exceeded with url: /dms_pub/itu-s/opb/gen/S-GEN-UNACT-2020-1-PDF-E.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E2049E4040>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
LIVING PLANET REPORT 2020 - WWF,https://www.wwf.org.uk/sites/default/files/2020-09/LPR20_Full_report.pdf,www_wwf_org_uk_LIVING_PLANET_REPORT_2020_WWF.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.wwf.org.uk', port=443): Max retries exceeded with url: /sites/default/files/2020-09/LPR20_Full_report.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E22332E2B0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
Planning for Sustainable Stakeholder Engagement Based ...,https://www.researchgate.net/publication/335831292_Planning_for_Sustainable_Stakeholder_Engagement_Based_on_the_Assessment_of_Conflicting_Interests_in_Projects,www_researchgate_net_Planning_for_Sustainable_Stakeholder_Engagement_Ba.txt,failed,[BLOCKED_403] https://www.researchgate.net/publication/335831292_Planning_for_Sustainable_Stakeholder_Engagement_Based_on_the_Assessment_of_Conflicting_Interests_in_Projects
Digital technologies as a means of repression and social control,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/653636/EXPO_STU(2021)653636_EN.pdf,www_europarl_europa_eu_Digital_technologies_as_a_means_of_repression_and_.txt,failed,"[FETCH ERROR] HTTPSConnectionPool(host='www.europarl.europa.eu', port=443): Max retries exceeded with url: /RegData/etudes/STUD/2021/653636/EXPO_STU(2021)653636_EN.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002E21AC43D00>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to resp"
