Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile,digital_relevant,unep_attributed,digital_practice_score,unep_attribution_score,improvement_type,action_stage,actor_type,evidence_level,digital_justification,unep_justification,evidence_phrases
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,United Nations Environment Programme (UNEP) - AI for Good,https://aiforgood.itu.int/about-us/un-ai-actions/unep/,"UNEP is the leading global environmental authority, setting the environmental agenda and promoting sustainable development within the UN system.",https://aiforgood.itu.int › About us › UN AI Actions,aiforgood_itu_int_United_Nations_Environment_Programme_UNEP_AI_for_G.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,UNESCO Science Report: the race against time for smarter ...,https://unesdoc.unesco.org/ark:/48223/pf0000377433.locale=en,"... information provided by an AI system. One issue that may come to the fore in ... skills development, while expanding technical and vocational education and ...",https://unesdoc.unesco.org › ark:,unesdoc_unesco_org_UNESCO_Science_Report_the_race_against_time_for_sm.txt,False,False,0,0,none,none,unclear,unclear,"The document is not relevant to the task as it does not contain information about Kenya, the time window 2018-2022, or specific improvements in data management and environmentally sustainable artificial intelligence practices.",There is no mention of UNEP or its activities in the provided document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,The Department of Environment's GEF funded Cross,https://www.facebook.com/investingforwellness/posts/the-department-of-environments-gef-funded-cross-cutting-capacity-development-ccc/1007985179641456/,"The program focuses on enhancing participants' skills in Geographic Information Systems (GIS) and Remote Sensing, enabling them to effectively integrate these ...",3 reactions,www_facebook_com_The_Department_of_Environment_s_GEF_funded_Cross.txt,False,False,0,0,none,none,unclear,unclear,The document is not about Kenya and does not contain evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices.,There is no explicit link to UNEP or UNEP-supported work.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Data Resources,https://www.unep.org/data-resources,"UNEP is the global champion for the environment with programmes focusing on sustainable development, climate, biodiversity and more.",https://www.unep.org › data-resources,www_unep_org_Data_Resources.txt,False,False,0,0,none,none,unclear,global,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Kenya during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to enabling, supporting, improving, training, implementing, or operationalizing any SP7.1 evidence.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Climate Cooperation and Competition: Leveraging ...,https://www.csis.org/analysis/climate-cooperation-and-competition-leveraging-sustainable-development-goal-13,"New technical assistance and implementation efforts will require U.S. government operational reform. Staffing, capacity, and resources of U.S. government ...",https://www.csis.org › analysis › climate-cooperation-an...,www_csis_org_Climate_Cooperation_and_Competition_Leveraging_.txt,False,False,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Kenya during 2018-2022.","The document does not explicitly link UNEP (United Nations Environment Programme), UNEP Digital Transformation work, WESR, or UNEP-supported work to the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,First Global Report,https://environmentalmigration.iom.int/sites/g/files/tmzbdl1411/files/documents/2023-11/environmental_rule_of_law.pdf,"This new report on the Environmental. Rule of Law will help us improve compliance with environmental law, which is essential to ensuring protection of ...",https://environmentalmigration.iom.int › files › e...,environmentalmigration_iom_int_First_Global_Report.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022, nor does it discuss digital/data management/sustainable AI practices or environmental rule of law in the context of Kenya.","The document does not explicitly link UNEP or UNEP-supported work to any improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Measuring the Impact of Conservation: The Growing ...,https://www.mdpi.com/1424-2818/14/10/824,"Governments need data to guide planning and to report on progress towards their global MEA commitments, such as the CBD, the United Nations Convention to Combat ...",https://www.mdpi.com › ...,www_mdpi_com_Measuring_the_Impact_of_Conservation_The_Growing_.txt,False,False,0,0,none,none,academic / research institution,global,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Kenya during 2018-2022.,There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management or environmentally sustainable AI practices in Kenya during 2018-2022.,"[""No relevant phrases found""]"
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Climate Change AI Workshop Papers,https://www.climatechange.ai/papers,"On this page, we show accepted works from all our workshops on ""Tackling Climate Change with Machine Learning.""",https://www.climatechange.ai › papers,www_climatechange_ai_Climate_Change_AI_Workshop_Papers.txt,False,False,0,0,none,none,none,unclear,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Kenya during 2018-2022.,"There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,INTERNATIONAL GUIDELINES FOR INDUSTRIAL PARKS,https://www.unido.org/sites/default/files/files/2019-11/International_Guidelines_for_Industrial_Parks.pdf,UNEP. (2001). Environmental Management for Industrial Estates: Information and Training Resources. United Nations Publication. 81. UNIDO. (2011). Industrial ...,https://www.unido.org › default › files › files › I...,www_unido_org_INTERNATIONAL_GUIDELINES_FOR_INDUSTRIAL_PARKS.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to improved data management, environmental data systems/platforms/workflows, environmentally sustainable AI practices, or capacity/skills development in data management or AI in Kenya during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to enabling, supporting, improving, training, implementing, or operationalizing SP7.1 outcomes in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,ENERGY ACTION - Sustainable Development Goals,https://sdgs.un.org/sites/default/files/2021-06/2021-SDG7%20POLICY%20BRIEFS.pdf,The world has made significant progress toward SDG 7 in some areas. Yet efforts remain well below the scale required to meet the goal by 2030.,https://sdgs.un.org › sites › default › files,sdgs_un_org_ENERGY_ACTION_Sustainable_Development_Goals.txt,False,False,0,0,none,none,none,global,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Kenya during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
