Entity,TimeWindow,Title,Link,Snippet,DisplayLink
Lebanon,2002–2006,Report of the World Summit on Sustainable Development,https://docs.un.org/en/A/Conf.199/20,"Minister of the Environment of Lebanon; Frederick A. Mitchell, Minister for ... The United Nations Environmental Programme Global Environment Outlook,.",https://docs.un.org › Conf.199
Lebanon,2002–2006,Tsunami damage over US $1 million - UNEP assessment,https://www.thenewhumanitarian.org/report/24885/yemen-tsunami-damage-over-us-1-million-unep-assessment,The emergency EEU/UNEP assessment was conducted only on Socotra and in al ... Lebanon · Libya · Palestine · Syria · Turkey · Yemen · Global Issues · Analysis ...,https://www.thenewhumanitarian.org › report › yemen-ts...
Lebanon,2002–2006,Mediterranean Sea highly polluted by toxic chemicals,https://wwf.panda.org/es/?9772/Mediterranean-Sea-highly-polluted-by-toxic-chemicals,"According to UNEP's Assessment of Transboundary Pollution Issues in the ... Lebanon, Libya, Serbia Montenegro and Syria still have to ratify the Protocol.",https://wwf.panda.org › Mediterranean-Sea-highly-poll...
Lebanon,2002–2006,Caring for Climate,https://unfccc.int/resource/docs/publications/caring_en.pdf,LEBANON. ✓✓. LESOTHO ... Also available online at http://130.37.129/IVM/research/climatechange/fb_Handbook.htm. UNEP (2002) Global Environment Outlook 3.,https://unfccc.int › docs › publications › caring_en
Lebanon,2002–2006,STRATEGIC ENVIRONMENTAL ASSESSMENT,https://www.iied.org/sites/default/files/pdfs/migrate/G02193.pdf,The Global Environment Outlook project. 30. 2.10 State of the environment ... 6.27 SEA and land use Planning project in Lebanon. 254. 6.28 Promoting SEA in ...,https://www.iied.org › sites › files › pdfs › migrate
Lebanon,2002–2006,Capacity Building for Sustainable Development,https://www.ircwash.org/sites/default/files/UNEP-2002-Capacity.pdf,The UNEP assessment strategy involves the development of ... Capacity building is formally programmed into the Global Environment Outlook (GEO) process (page 120) ...,https://www.ircwash.org › UNEP-2002-Capacity
Lebanon,2002–2006,"Religions, Ethics and Environment",https://iefworld.org/unepgc21.htm,"The Maronite Church of Lebanon has protected the forest of Harisa, a ... The UNEP report Global Environment Outlook 2000 clearly demonstrates that if ...",https://iefworld.org › unepgc21
Lebanon,2002–2006,Drought characteristics and management in North Africa and ...,https://openknowledge.fao.org/server/api/core/bitstreams/94eb6949-ae16-4ae6-994e-860d1156d449/content,"for the Ministry of Environment. Lebanon. MoE/UNDP/ECODIT. 2011. State of ... Global Environment Outlook 3, Nairobi. UNHR. 2014. End visit Statement by ...",https://openknowledge.fao.org › core › content
Lebanon,2002–2006,The Environmental Vulnerability Index (EVI) 2004,https://gsd.spc.int/sopac/evi/Files/EVI%202004%20Technical%20Report.pdf,"... Lebanon. United Kingdom. Italy. Netherlands. Albania. Germany. Poland. Bangladesh ... UNEP Report. 15. Kaly, U.L. 2000. Lessons from the EVI and Smart ...",https://gsd.spc.int › sopac › evi › Files
Lebanon,2002–2006,Earth Summit 2002 - Stakeholder Forum,https://earthsummit2002.stakeholderforum.org/Es2002.pdf,"Numerous reports from different UN bodies are underway to supple- ment the review process, including UNEP's Global Environment Outlook, UNDP's Human Development ...",https://earthsummit2002.stakeholderforum.org › ...
Lebanon,2002–2006,59/62 - General Assembly - the United Nations,https://docs.un.org/en/a/59/62,"and the remainder flew respectively the flags of Lebanon, Cyprus, Panama, ... the Global Environment Outlook, the Global International Waters Assessment, the ...",https://docs.un.org › ...
Lebanon,2002–2006,Earth Summit 2002 - Stakeholder Forum,https://earthsummit2002.stakeholderforum.org/Es2002.pdf,"Numerous reports from different UN bodies are underway to supple- ment the review process, including UNEP's Global Environment Outlook, UNDP's Human Development ...",https://earthsummit2002.stakeholderforum.org › ...
